,0BathroomWater,timestamp
2,PRESENT,2022-05-04 10:49:33.867000+02:00
3,NOT_PRESENT,2022-05-04 10:49:35.781000+02:00
4,PRESENT,2022-05-04 10:49:50.636000+02:00
5,NOT_PRESENT,2022-05-04 10:49:51.898000+02:00
6,PRESENT,2022-05-04 10:50:04.944000+02:00
7,NOT_PRESENT,2022-05-04 10:50:06.191000+02:00
8,PRESENT,2022-05-04 10:50:11.159000+02:00
9,NOT_PRESENT,2022-05-04 10:50:12.405000+02:00
0,PRESENT,2022-05-20 23:50:44.029000+02:00
1,NOT_PRESENT,2022-05-21 04:59:35.176000+02:00
0,PRESENT,2022-05-24 17:19:52.868000+02:00
0,NOT_PRESENT,2022-05-24 22:14:33.240000+02:00
0,PRESENT,2022-05-26 14:51:38.639000+02:00
1,NOT_PRESENT,2022-05-26 21:07:20.147000+02:00
0,PRESENT,2022-05-29 10:06:26.020000+02:00
1,NOT_PRESENT,2022-05-29 10:07:49.916000+02:00
2,PRESENT,2022-05-29 10:11:13.200000+02:00
3,NOT_PRESENT,2022-05-29 10:11:16.697000+02:00
4,PRESENT,2022-05-29 10:11:37.600000+02:00
5,NOT_PRESENT,2022-05-29 10:11:39.757000+02:00
6,PRESENT,2022-05-29 10:11:44.631000+02:00
7,NOT_PRESENT,2022-05-29 10:11:45.897000+02:00
8,PRESENT,2022-05-29 10:11:58.539000+02:00
9,NOT_PRESENT,2022-05-29 10:11:59.805000+02:00
10,PRESENT,2022-05-29 11:16:47.062000+02:00
11,NOT_PRESENT,2022-05-29 11:17:20.659000+02:00
12,PRESENT,2022-05-29 13:16:23.326000+02:00
13,NOT_PRESENT,2022-05-29 15:12:03.874000+02:00
14,PRESENT,2022-05-29 15:23:20.680000+02:00
15,NOT_PRESENT,2022-05-29 15:57:13.421000+02:00
0,PRESENT,2022-06-04 09:53:00.076000+02:00
1,NOT_PRESENT,2022-06-04 09:53:04.036000+02:00
2,PRESENT,2022-06-04 09:53:13.137000+02:00
3,NOT_PRESENT,2022-06-04 09:53:19.773000+02:00
4,PRESENT,2022-06-04 09:53:25.902000+02:00
5,NOT_PRESENT,2022-06-04 09:53:35.891000+02:00
6,PRESENT,2022-06-04 09:54:04.327000+02:00
7,NOT_PRESENT,2022-06-04 09:54:30.323000+02:00
8,PRESENT,2022-06-04 09:54:41.708000+02:00
9,NOT_PRESENT,2022-06-04 09:54:43.839000+02:00
10,PRESENT,2022-06-04 09:54:45.548000+02:00
11,NOT_PRESENT,2022-06-04 09:54:46.801000+02:00
12,PRESENT,2022-06-04 09:54:48.502000+02:00
13,NOT_PRESENT,2022-06-04 09:54:54.398000+02:00
14,PRESENT,2022-06-04 09:54:57.596000+02:00
15,NOT_PRESENT,2022-06-04 09:54:58.854000+02:00
16,PRESENT,2022-06-04 09:55:00.506000+02:00
17,NOT_PRESENT,2022-06-04 09:55:01.755000+02:00
18,PRESENT,2022-06-04 09:55:11.635000+02:00
19,NOT_PRESENT,2022-06-04 09:55:16.635000+02:00
20,PRESENT,2022-06-04 09:55:18.295000+02:00
21,NOT_PRESENT,2022-06-04 09:55:19.547000+02:00
22,PRESENT,2022-06-04 09:55:22.082000+02:00
23,NOT_PRESENT,2022-06-04 09:55:23.337000+02:00
24,PRESENT,2022-06-04 09:55:27.604000+02:00
25,NOT_PRESENT,2022-06-04 09:55:28.860000+02:00
26,PRESENT,2022-06-04 09:55:35.805000+02:00
27,NOT_PRESENT,2022-06-04 09:55:39.249000+02:00
28,PRESENT,2022-06-04 09:55:43.097000+02:00
29,NOT_PRESENT,2022-06-04 09:55:44.343000+02:00
30,PRESENT,2022-06-04 09:55:53.013000+02:00
31,NOT_PRESENT,2022-06-04 09:55:54.266000+02:00
32,PRESENT,2022-06-04 09:55:58.520000+02:00
33,NOT_PRESENT,2022-06-04 09:55:59.774000+02:00
34,PRESENT,2022-06-04 09:56:13.022000+02:00
35,NOT_PRESENT,2022-06-04 09:56:14.278000+02:00
36,PRESENT,2022-06-04 11:12:29.347000+02:00
37,NOT_PRESENT,2022-06-04 11:13:46.325000+02:00
38,PRESENT,2022-06-04 12:48:38.631000+02:00
39,NOT_PRESENT,2022-06-04 12:49:00.093000+02:00
0,PRESENT,2022-06-05 02:16:52.296000+02:00
1,NOT_PRESENT,2022-06-05 02:26:22.192000+02:00
0,PRESENT,2022-06-14 10:38:26.078000+02:00
1,NOT_PRESENT,2022-06-14 10:38:52.871000+02:00
2,PRESENT,2022-06-14 10:39:04.816000+02:00
3,NOT_PRESENT,2022-06-14 10:39:06.709000+02:00
4,PRESENT,2022-06-14 10:39:16.418000+02:00
5,NOT_PRESENT,2022-06-14 10:39:19.201000+02:00
6,PRESENT,2022-06-14 10:39:31.763000+02:00
7,NOT_PRESENT,2022-06-14 10:39:36.279000+02:00
0,PRESENT,2022-06-15 13:59:33.074000+02:00
1,NOT_PRESENT,2022-06-15 13:59:34.322000+02:00
2,PRESENT,2022-06-15 13:59:40.925000+02:00
3,NOT_PRESENT,2022-06-15 13:59:42.818000+02:00
4,PRESENT,2022-06-15 13:59:47.403000+02:00
5,NOT_PRESENT,2022-06-15 13:59:52.675000+02:00
6,PRESENT,2022-06-15 13:59:57.264000+02:00
7,NOT_PRESENT,2022-06-15 13:59:58.511000+02:00
8,PRESENT,2022-06-15 14:00:18.095000+02:00
9,NOT_PRESENT,2022-06-15 14:00:21.673000+02:00
10,PRESENT,2022-06-15 14:00:23.481000+02:00
11,NOT_PRESENT,2022-06-15 14:00:24.729000+02:00
12,PRESENT,2022-06-15 14:00:55.776000+02:00
13,NOT_PRESENT,2022-06-15 14:00:57.898000+02:00
0,PRESENT,2022-06-16 11:59:03.330000+02:00
1,NOT_PRESENT,2022-06-16 11:59:04.578000+02:00
0,NOT_PRESENT,2022-06-19 15:44:33+02:00
0,PRESENT,2022-06-20 10:08:19.613000+02:00
1,NOT_PRESENT,2022-06-20 10:08:45.652000+02:00
2,PRESENT,2022-06-20 10:08:48.238000+02:00
3,NOT_PRESENT,2022-06-20 10:09:03.987000+02:00
4,PRESENT,2022-06-20 10:09:11.652000+02:00
5,NOT_PRESENT,2022-06-20 10:09:16.238000+02:00
0,PRESENT,2022-06-21 09:11:31.567000+02:00
1,NOT_PRESENT,2022-06-21 09:11:32.818000+02:00
2,PRESENT,2022-06-21 11:02:44.673000+02:00
3,NOT_PRESENT,2022-06-21 11:02:53.083000+02:00
4,PRESENT,2022-06-21 11:03:06.404000+02:00
