,0BGuestDoor,timestamp
106,NOT_PRESENT,2022-02-01 01:17:02.834000+01:00
107,PRESENT,2022-02-01 01:18:03.985000+01:00
108,NOT_PRESENT,2022-02-01 19:39:35.587000+01:00
109,PRESENT,2022-02-01 19:42:12.553000+01:00
110,NOT_PRESENT,2022-02-01 19:42:55.931000+01:00
111,PRESENT,2022-02-02 00:51:54.719000+01:00
112,NOT_PRESENT,2022-02-02 21:25:43.564000+01:00
113,PRESENT,2022-02-03 11:05:52.882000+01:00
114,NOT_PRESENT,2022-02-03 22:25:50.971000+01:00
115,PRESENT,2022-02-03 23:24:24.973000+01:00
116,NOT_PRESENT,2022-02-04 10:23:23.153000+01:00
117,PRESENT,2022-02-04 11:17:35.486000+01:00
118,NOT_PRESENT,2022-02-06 00:41:44.224000+01:00
119,PRESENT,2022-02-06 00:42:42.117000+01:00
120,NOT_PRESENT,2022-02-06 14:25:24.632000+01:00
121,PRESENT,2022-02-06 18:16:01.941000+01:00
122,NOT_PRESENT,2022-02-06 18:16:18.678000+01:00
123,PRESENT,2022-02-06 18:17:53.524000+01:00
124,NOT_PRESENT,2022-02-07 14:35:03.752000+01:00
0,PRESENT,2022-02-08 10:40:39.036000+01:00
1,NOT_PRESENT,2022-02-08 19:39:26.070000+01:00
2,PRESENT,2022-02-08 19:39:46.426000+01:00
0,NOT_PRESENT,2022-02-09 07:26:02.426000+01:00
1,PRESENT,2022-02-09 07:26:09.041000+01:00
2,NOT_PRESENT,2022-02-09 08:46:59.408000+01:00
3,PRESENT,2022-02-09 08:47:12.336000+01:00
0,NOT_PRESENT,2022-02-12 11:06:16.087000+01:00
1,PRESENT,2022-02-12 11:06:26.755000+01:00
0,NOT_PRESENT,2022-02-13 09:05:50.508000+01:00
1,PRESENT,2022-02-13 09:09:11.199000+01:00
2,NOT_PRESENT,2022-02-13 10:15:09.246000+01:00
3,PRESENT,2022-02-13 11:02:44.824000+01:00
4,NOT_PRESENT,2022-02-13 11:02:46.234000+01:00
5,PRESENT,2022-02-13 12:46:09.291000+01:00
6,NOT_PRESENT,2022-02-13 12:55:48.134000+01:00
7,PRESENT,2022-02-13 12:56:11.474000+01:00
8,NOT_PRESENT,2022-02-13 12:56:14.955000+01:00
0,PRESENT,2022-02-14 08:42:08.892000+01:00
1,NOT_PRESENT,2022-02-14 17:12:48.912000+01:00
2,PRESENT,2022-02-14 17:15:42.459000+01:00
0,NOT_PRESENT,2022-02-15 08:57:41.065000+01:00
1,PRESENT,2022-02-15 08:57:56.763000+01:00
2,NOT_PRESENT,2022-02-15 14:08:14.223000+01:00
3,PRESENT,2022-02-15 14:43:54.302000+01:00
4,NOT_PRESENT,2022-02-15 18:53:43.623000+01:00
0,PRESENT,2022-02-15 22:03:38.598000+01:00
1,NOT_PRESENT,2022-02-16 14:25:19.051000+01:00
0,PRESENT,2022-02-17 00:16:28.124000+01:00
0,NOT_PRESENT,2022-02-17 22:05:21.424000+01:00
1,PRESENT,2022-02-17 22:05:39.809000+01:00
0,NOT_PRESENT,2022-02-19 14:18:24.624000+01:00
1,PRESENT,2022-02-19 14:18:48.640000+01:00
2,NOT_PRESENT,2022-02-19 14:18:49.951000+01:00
3,PRESENT,2022-02-19 14:24:33.115000+01:00
0,NOT_PRESENT,2022-02-20 13:40:41.852000+01:00
1,PRESENT,2022-02-20 13:41:01.592000+01:00
2,NOT_PRESENT,2022-02-20 14:29:40.920000+01:00
3,PRESENT,2022-02-20 14:29:48.222000+01:00
4,NOT_PRESENT,2022-02-20 16:42:05.639000+01:00
5,PRESENT,2022-02-20 16:49:06.018000+01:00
6,NOT_PRESENT,2022-02-20 16:50:01.370000+01:00
0,PRESENT,2022-02-20 22:11:17.772000+01:00
1,NOT_PRESENT,2022-02-20 22:11:19.084000+01:00
2,PRESENT,2022-02-21 08:15:05.030000+01:00
3,NOT_PRESENT,2022-02-21 12:46:21.887000+01:00
4,PRESENT,2022-02-21 13:22:01.025000+01:00
5,NOT_PRESENT,2022-02-21 13:22:06.293000+01:00
6,PRESENT,2022-02-21 13:22:13.590000+01:00
7,NOT_PRESENT,2022-02-21 13:22:27.650000+01:00
8,PRESENT,2022-02-21 13:22:33.594000+01:00
9,NOT_PRESENT,2022-02-21 13:22:53.137000+01:00
10,PRESENT,2022-02-21 13:23:01.783000+01:00
11,NOT_PRESENT,2022-02-21 13:23:29.353000+01:00
12,PRESENT,2022-02-21 13:44:00.244000+01:00
13,NOT_PRESENT,2022-02-21 14:40:39.961000+01:00
14,PRESENT,2022-02-21 14:45:57.147000+01:00
15,NOT_PRESENT,2022-02-21 14:46:11.193000+01:00
16,PRESENT,2022-02-21 15:48:45.886000+01:00
17,NOT_PRESENT,2022-02-21 15:49:14.133000+01:00
18,PRESENT,2022-02-21 17:09:31.534000+01:00
19,NOT_PRESENT,2022-02-21 17:25:11.949000+01:00
20,PRESENT,2022-02-21 17:25:37.973000+01:00
21,NOT_PRESENT,2022-02-21 17:55:33.045000+01:00
22,PRESENT,2022-02-21 17:55:41.016000+01:00
0,NOT_PRESENT,2022-02-22 08:37:03.494000+01:00
1,PRESENT,2022-02-22 08:38:13.904000+01:00
2,NOT_PRESENT,2022-02-22 16:30:49.104000+01:00
3,PRESENT,2022-02-22 16:31:51.087000+01:00
0,NOT_PRESENT,2022-02-22 21:58:01.366000+01:00
1,PRESENT,2022-02-22 21:58:13.632000+01:00
2,NOT_PRESENT,2022-02-22 22:34:26.755000+01:00
3,PRESENT,2022-02-22 22:36:51.794000+01:00
4,NOT_PRESENT,2022-02-23 16:46:25.611000+01:00
5,PRESENT,2022-02-23 16:46:27.523000+01:00
6,NOT_PRESENT,2022-02-23 16:54:08.326000+01:00
7,PRESENT,2022-02-23 16:55:19.716000+01:00
8,NOT_PRESENT,2022-02-23 16:55:22.528000+01:00
9,PRESENT,2022-02-23 18:46:29.672000+01:00
0,NOT_PRESENT,2022-02-24 12:12:01.742000+01:00
1,PRESENT,2022-02-24 12:12:20.028000+01:00
2,NOT_PRESENT,2022-02-24 12:12:23.271000+01:00
0,PRESENT,2022-02-26 12:55:51.530000+01:00
1,NOT_PRESENT,2022-02-26 17:14:07.070000+01:00
2,PRESENT,2022-02-26 17:14:43.913000+01:00
0,NOT_PRESENT,2022-02-26 22:06:59.188000+01:00
1,PRESENT,2022-02-27 14:07:28.631000+01:00
2,NOT_PRESENT,2022-02-27 18:21:56.566000+01:00
0,PRESENT,2022-02-27 23:50:15.612000+01:00
1,NOT_PRESENT,2022-02-28 09:21:32.948000+01:00
2,PRESENT,2022-02-28 09:21:40.895000+01:00
3,NOT_PRESENT,2022-02-28 09:22:35.393000+01:00
4,PRESENT,2022-02-28 09:22:46.711000+01:00
5,NOT_PRESENT,2022-02-28 10:24:45.150000+01:00
6,PRESENT,2022-02-28 10:49:44.738000+01:00
0,NOT_PRESENT,2022-02-28 20:39:54.946000+01:00
1,PRESENT,2022-02-28 21:37:40.343000+01:00
2,NOT_PRESENT,2022-03-01 08:34:55.183000+01:00
3,PRESENT,2022-03-01 09:51:28.778000+01:00
0,NOT_PRESENT,2022-03-01 21:17:56.929000+01:00
1,PRESENT,2022-03-01 21:18:29.032000+01:00
0,NOT_PRESENT,2022-03-06 10:48:24.831000+01:00
0,PRESENT,2022-03-08 12:07:45.182000+01:00
1,NOT_PRESENT,2022-03-08 12:24:44.623000+01:00
2,PRESENT,2022-03-08 12:24:48.509000+01:00
3,NOT_PRESENT,2022-03-08 12:38:21.915000+01:00
4,PRESENT,2022-03-08 12:38:35.044000+01:00
5,NOT_PRESENT,2022-03-08 12:49:56.317000+01:00
6,PRESENT,2022-03-08 12:51:53.520000+01:00
7,NOT_PRESENT,2022-03-08 13:26:37.015000+01:00
8,PRESENT,2022-03-08 13:26:43.572000+01:00
9,NOT_PRESENT,2022-03-08 13:53:21.342000+01:00
10,PRESENT,2022-03-08 14:02:14.246000+01:00
11,NOT_PRESENT,2022-03-08 14:06:50.353000+01:00
12,PRESENT,2022-03-08 16:24:37.688000+01:00
13,NOT_PRESENT,2022-03-08 18:45:41.355000+01:00
0,PRESENT,2022-03-09 08:31:53.024000+01:00
