,0BRoom,timestamp
107,14.45,2022-01-09 01:06:08.514000+01:00
108,14.5,2022-01-09 01:21:57.215000+01:00
109,14.5,2022-01-09 01:37:45.635000+01:00
110,14.55,2022-01-09 01:53:33.878000+01:00
111,14.55,2022-01-09 02:09:22.004000+01:00
112,14.55,2022-01-09 02:25:09.958000+01:00
113,14.65,2022-01-09 02:40:57.790000+01:00
114,14.6,2022-01-09 02:56:45.412000+01:00
115,14.65,2022-01-09 03:12:32.984000+01:00
116,14.7,2022-01-09 03:28:20.372000+01:00
117,14.75,2022-01-09 03:44:07.655000+01:00
118,14.8,2022-01-09 03:59:54.950000+01:00
119,14.8,2022-01-09 04:15:42.274000+01:00
120,14.8,2022-01-09 04:31:29.317000+01:00
121,14.85,2022-01-09 04:47:16.258000+01:00
122,14.8,2022-01-09 05:03:03.201000+01:00
123,14.9,2022-01-09 05:18:50.194000+01:00
124,14.9,2022-01-09 05:34:37.272000+01:00
125,14.95,2022-01-09 05:50:24.202000+01:00
126,15.0,2022-01-09 06:06:10.956000+01:00
127,15.0,2022-01-09 06:21:57.630000+01:00
128,15.05,2022-01-09 06:37:44.231000+01:00
129,15.05,2022-01-09 06:53:30.646000+01:00
130,15.05,2022-01-09 07:09:16.929000+01:00
131,15.1,2022-01-09 07:25:03.340000+01:00
132,15.1,2022-01-09 07:40:49.539000+01:00
133,15.1,2022-01-09 07:56:35.757000+01:00
134,15.15,2022-01-09 08:12:21.875000+01:00
135,15.25,2022-01-09 08:28:07.674000+01:00
136,15.2,2022-01-09 08:43:53.192000+01:00
137,15.25,2022-01-09 08:59:38.721000+01:00
138,15.25,2022-01-09 09:15:24.105000+01:00
139,15.3,2022-01-09 09:31:09.238000+01:00
140,15.3,2022-01-09 09:46:54.385000+01:00
141,15.35,2022-01-09 10:02:39.655000+01:00
142,15.35,2022-01-09 10:18:24.708000+01:00
143,15.4,2022-01-09 10:34:09.944000+01:00
144,15.4,2022-01-09 10:49:55.144000+01:00
145,15.45,2022-01-09 11:05:39.970000+01:00
146,15.45,2022-01-09 11:21:24.790000+01:00
147,15.5,2022-01-09 11:37:09.555000+01:00
148,15.5,2022-01-09 11:52:54.334000+01:00
149,15.5,2022-01-09 12:08:38.906000+01:00
150,15.55,2022-01-09 12:24:23.578000+01:00
151,15.55,2022-01-09 12:40:08.044000+01:00
152,15.6,2022-01-09 12:55:52.341000+01:00
153,15.6,2022-01-09 13:11:36.556000+01:00
154,15.6,2022-01-09 13:27:20.842000+01:00
155,15.6,2022-01-09 13:43:05.152000+01:00
156,15.6,2022-01-09 13:58:49.361000+01:00
157,15.55,2022-01-09 14:14:33.432000+01:00
158,15.6,2022-01-09 14:30:17.272000+01:00
159,15.65,2022-01-09 14:46:01.032000+01:00
160,15.65,2022-01-09 15:01:44.490000+01:00
161,15.7,2022-01-09 15:17:27.913000+01:00
162,15.65,2022-01-09 15:33:11.339000+01:00
163,15.65,2022-01-09 15:48:54.848000+01:00
164,15.7,2022-01-09 16:04:38.417000+01:00
165,15.65,2022-01-09 16:20:22.068000+01:00
166,15.65,2022-01-09 16:36:05.672000+01:00
167,15.65,2022-01-09 16:51:49.198000+01:00
168,15.65,2022-01-09 17:07:33.066000+01:00
169,15.65,2022-01-09 17:23:16.948000+01:00
170,15.65,2022-01-09 17:39:01.449000+01:00
171,15.65,2022-01-09 17:54:45.459000+01:00
172,15.6,2022-01-09 18:10:29.278000+01:00
173,15.65,2022-01-09 18:26:12.895000+01:00
174,15.65,2022-01-09 18:41:56.528000+01:00
175,15.6,2022-01-09 18:57:40.176000+01:00
176,15.6,2022-01-09 19:13:23.711000+01:00
177,15.65,2022-01-09 19:29:07.414000+01:00
178,15.65,2022-01-09 19:44:51.115000+01:00
179,15.6,2022-01-09 20:00:34.899000+01:00
180,15.65,2022-01-09 20:16:18.720000+01:00
181,15.6,2022-01-09 20:32:02.807000+01:00
182,15.6,2022-01-09 20:47:46.941000+01:00
183,15.65,2022-01-09 21:03:31.139000+01:00
184,15.6,2022-01-09 21:19:14.886000+01:00
185,15.65,2022-01-09 21:34:58.752000+01:00
186,15.6,2022-01-09 21:50:42.538000+01:00
187,15.65,2022-01-09 22:06:26.344000+01:00
188,15.65,2022-01-09 22:22:10.145000+01:00
189,15.65,2022-01-09 22:37:54.076000+01:00
190,15.65,2022-01-09 22:53:37.915000+01:00
191,15.7,2022-01-09 23:09:21.621000+01:00
192,16.05,2022-01-09 23:25:04.049000+01:00
193,16.35,2022-01-09 23:40:45.501000+01:00
194,16.65,2022-01-09 23:56:25.452000+01:00
195,17.1,2022-01-10 00:12:03.617000+01:00
196,17.5,2022-01-10 00:27:40.076000+01:00
197,17.6,2022-01-10 00:43:15.506000+01:00
198,17.6,2022-01-10 00:58:50.828000+01:00
199,17.75,2022-01-10 01:14:26.181000+01:00
200,17.6,2022-01-10 01:30:01.641000+01:00
201,17.35,2022-01-10 01:45:38.056000+01:00
202,17.3,2022-01-10 02:01:15.058000+01:00
203,17.1,2022-01-10 02:16:52.587000+01:00
204,16.95,2022-01-10 02:32:30.631000+01:00
205,16.8,2022-01-10 02:48:09.197000+01:00
206,16.65,2022-01-10 03:03:48.330000+01:00
207,16.55,2022-01-10 03:19:27.981000+01:00
208,16.5,2022-01-10 03:35:08.071000+01:00
209,16.4,2022-01-10 03:50:48.259000+01:00
