,1Entrance1,timestamp
107,20.4,2022-01-09 02:17:42.111000+01:00
108,20.5,2022-01-09 02:34:22.192000+01:00
109,20.5,2022-01-09 02:48:59.067000+01:00
110,20.35,2022-01-09 03:05:38.952000+01:00
111,20.55,2022-01-09 03:22:19.266000+01:00
112,20.55,2022-01-09 03:38:59.961000+01:00
113,20.35,2022-01-09 03:55:40.583000+01:00
114,20.35,2022-01-09 04:12:21.154000+01:00
115,20.4,2022-01-09 04:29:02.034000+01:00
116,20.4,2022-01-09 04:43:39.150000+01:00
117,20.5,2022-01-09 05:00:19.610000+01:00
118,20.35,2022-01-09 05:17:00.181000+01:00
119,20.25,2022-01-09 05:33:40.800000+01:00
120,20.25,2022-01-09 05:50:21.484000+01:00
121,20.3,2022-01-09 06:07:02.283000+01:00
122,20.2,2022-01-09 06:23:43.121000+01:00
123,20.2,2022-01-09 06:40:23.877000+01:00
124,20.15,2022-01-09 06:57:04.918000+01:00
125,20.1,2022-01-09 07:11:42.494000+01:00
126,20.85,2022-01-09 07:28:22.654000+01:00
127,20.75,2022-01-09 07:45:00.882000+01:00
128,20.65,2022-01-09 08:01:40.214000+01:00
129,20.9,2022-01-09 08:18:19.275000+01:00
130,21.0,2022-01-09 08:34:57.936000+01:00
131,21.25,2022-01-09 08:51:35.646000+01:00
132,21.55,2022-01-09 09:08:13.015000+01:00
133,21.4,2022-01-09 09:24:50.365000+01:00
134,21.65,2022-01-09 09:41:27.274000+01:00
135,21.65,2022-01-09 09:56:01.255000+01:00
136,21.85,2022-01-09 10:12:37.013000+01:00
137,21.05,2022-01-09 10:29:14.457000+01:00
138,21.4,2022-01-09 10:45:52.714000+01:00
139,21.35,2022-01-09 11:02:30.575000+01:00
140,21.35,2022-01-09 11:19:08.503000+01:00
141,21.3,2022-01-09 11:35:46.254000+01:00
142,21.3,2022-01-09 11:52:23.838000+01:00
143,21.25,2022-01-09 12:09:01.537000+01:00
144,21.25,2022-01-09 12:25:39.213000+01:00
145,21.15,2022-01-09 12:42:17.215000+01:00
146,21.15,2022-01-09 12:58:55.380000+01:00
147,21.05,2022-01-09 13:15:33.692000+01:00
148,21.15,2022-01-09 13:32:12.200000+01:00
149,20.95,2022-01-09 13:48:50.979000+01:00
150,21.0,2022-01-09 14:05:30.004000+01:00
151,20.9,2022-01-09 14:22:08.880000+01:00
152,20.85,2022-01-09 14:38:48.021000+01:00
153,20.9,2022-01-09 14:55:27.441000+01:00
154,20.9,2022-01-09 15:12:07.025000+01:00
155,20.75,2022-01-09 15:28:46.862000+01:00
156,20.75,2022-01-09 15:45:26.623000+01:00
157,20.65,2022-01-09 16:02:06.601000+01:00
158,20.7,2022-01-09 16:18:46.696000+01:00
159,20.65,2022-01-09 16:35:26.842000+01:00
160,20.05,2022-01-09 16:52:07.256000+01:00
161,19.95,2022-01-09 17:08:49.007000+01:00
162,19.9,2022-01-09 17:25:31.082000+01:00
163,19.85,2022-01-09 17:42:13.392000+01:00
164,19.95,2022-01-09 17:58:55.361000+01:00
165,20.15,2022-01-09 18:15:37.257000+01:00
166,20.05,2022-01-09 18:32:19.227000+01:00
167,20.25,2022-01-09 18:49:00.970000+01:00
168,20.4,2022-01-09 19:05:42.151000+01:00
169,20.25,2022-01-09 19:22:23.154000+01:00
170,20.3,2022-01-09 19:39:04.601000+01:00
171,20.3,2022-01-09 19:53:42.482000+01:00
172,20.65,2022-01-09 20:10:22.951000+01:00
173,21.05,2022-01-09 20:27:02.318000+01:00
174,21.25,2022-01-09 20:43:40.848000+01:00
175,21.4,2022-01-09 21:00:18.444000+01:00
176,21.6,2022-01-09 21:16:55.371000+01:00
177,21.8,2022-01-09 21:33:31.628000+01:00
178,21.3,2022-01-09 21:50:08.553000+01:00
179,21.1,2022-01-09 22:06:46.239000+01:00
180,21.0,2022-01-09 22:23:23.805000+01:00
181,21.05,2022-01-09 22:40:01.763000+01:00
182,21.0,2022-01-09 22:56:39.768000+01:00
183,21.0,2022-01-09 23:13:18.010000+01:00
184,21.1,2022-01-09 23:29:56.247000+01:00
185,21.3,2022-01-09 23:46:33.957000+01:00
186,21.35,2022-01-10 00:03:11.298000+01:00
187,21.4,2022-01-10 00:19:48.401000+01:00
188,21.35,2022-01-10 00:36:25.429000+01:00
189,21.4,2022-01-10 00:53:02.359000+01:00
190,21.4,2022-01-10 01:09:39.180000+01:00
191,21.35,2022-01-10 01:26:16.034000+01:00
192,21.35,2022-01-10 01:42:52.980000+01:00
193,21.4,2022-01-10 01:59:30.014000+01:00
194,21.4,2022-01-10 02:16:07.239000+01:00
195,21.35,2022-01-10 02:32:44.452000+01:00
196,21.3,2022-01-10 02:49:21.873000+01:00
197,21.4,2022-01-10 03:05:59.378000+01:00
198,21.3,2022-01-10 03:22:36.960000+01:00
199,21.25,2022-01-10 03:39:14.664000+01:00
200,21.15,2022-01-10 03:55:52.231000+01:00
201,21.15,2022-01-10 04:12:29.718000+01:00
202,21.0,2022-01-10 04:29:07.459000+01:00
203,20.9,2022-01-10 04:45:45.508000+01:00
204,20.9,2022-01-10 05:02:23.669000+01:00
205,20.9,2022-01-10 05:19:02.267000+01:00
206,20.9,2022-01-10 05:35:41.218000+01:00
207,20.8,2022-01-10 05:52:20.092000+01:00
208,20.85,2022-01-10 06:06:55.911000+01:00
209,20.85,2022-01-10 06:23:34.565000+01:00
210,20.8,2022-01-10 06:40:13.730000+01:00
211,20.75,2022-01-10 06:56:52.915000+01:00
212,20.9,2022-01-10 07:13:31.854000+01:00
213,21.0,2022-01-10 07:30:10.581000+01:00
214,21.15,2022-01-10 07:46:49.042000+01:00
215,21.25,2022-01-10 08:03:26.790000+01:00
216,21.3,2022-01-10 08:18:01.012000+01:00
217,21.4,2022-01-10 08:34:38.251000+01:00
218,21.55,2022-01-10 08:51:14.746000+01:00
219,21.65,2022-01-10 09:07:50.747000+01:00
220,21.9,2022-01-10 09:24:26.151000+01:00
221,22.0,2022-01-10 09:41:01.517000+01:00
222,22.05,2022-01-10 09:57:37.145000+01:00
223,22.25,2022-01-10 10:14:12.224000+01:00
224,22.3,2022-01-10 10:30:46.832000+01:00
225,22.35,2022-01-10 10:47:21.620000+01:00
226,22.15,2022-01-10 11:03:56.146000+01:00
227,22.4,2022-01-10 11:20:31.196000+01:00
228,22.2,2022-01-10 11:37:05.953000+01:00
229,22.3,2022-01-10 11:53:40.142000+01:00
230,22.4,2022-01-10 12:10:13.927000+01:00
231,22.85,2022-01-10 12:24:45.080000+01:00
232,23.15,2022-01-10 12:41:15.417000+01:00
233,22.9,2022-01-10 12:57:47.329000+01:00
234,23.0,2022-01-10 13:14:19.943000+01:00
235,22.9,2022-01-10 13:30:52.763000+01:00
236,22.8,2022-01-10 13:47:25.884000+01:00
237,22.85,2022-01-10 14:03:58.403000+01:00
238,23.0,2022-01-10 14:20:30.549000+01:00
239,23.0,2022-01-10 14:37:02.634000+01:00
240,23.15,2022-01-10 14:53:34.736000+01:00
241,23.1,2022-01-10 15:08:04.049000+01:00
242,23.15,2022-01-10 15:24:35.885000+01:00
243,23.1,2022-01-10 15:39:05.334000+01:00
244,22.6,2022-01-10 15:55:37.447000+01:00
245,22.75,2022-01-10 16:12:10.444000+01:00
246,22.65,2022-01-10 16:28:43.673000+01:00
247,22.75,2022-01-10 16:45:16.892000+01:00
248,22.75,2022-01-10 17:01:49.508000+01:00
249,22.75,2022-01-10 17:18:22.163000+01:00
250,22.85,2022-01-10 17:34:54.699000+01:00
251,23.0,2022-01-10 17:51:27.152000+01:00
252,22.65,2022-01-10 18:05:57.109000+01:00
253,21.9,2022-01-10 18:22:31.502000+01:00
254,21.75,2022-01-10 18:37:04.528000+01:00
255,22.2,2022-01-10 18:53:39.718000+01:00
256,22.2,2022-01-10 19:10:14.576000+01:00
257,22.1,2022-01-10 19:24:46.487000+01:00
258,22.15,2022-01-10 19:41:20.969000+01:00
259,22.2,2022-01-10 19:57:55.766000+01:00
260,22.45,2022-01-10 20:14:29.759000+01:00
261,22.55,2022-01-10 20:31:03.059000+01:00
262,22.6,2022-01-10 20:47:36.171000+01:00
263,22.65,2022-01-10 21:04:09.229000+01:00
264,22.55,2022-01-10 21:20:42.445000+01:00
265,22.45,2022-01-10 21:37:16.062000+01:00
266,22.55,2022-01-10 21:51:47.237000+01:00
267,22.35,2022-01-10 22:08:20.958000+01:00
268,22.35,2022-01-10 22:24:54.946000+01:00
269,22.25,2022-01-10 22:41:29.327000+01:00
270,22.25,2022-01-10 22:58:03.726000+01:00
271,22.3,2022-01-10 23:12:35.121000+01:00
272,22.25,2022-01-10 23:29:09.240000+01:00
273,22.3,2022-01-10 23:43:41.078000+01:00
274,22.2,2022-01-11 00:00:15.544000+01:00
275,22.35,2022-01-11 00:16:50.308000+01:00
276,22.2,2022-01-11 00:33:24.923000+01:00
277,22.2,2022-01-11 00:49:59.822000+01:00
278,22.25,2022-01-11 01:04:31.705000+01:00
279,22.1,2022-01-11 01:21:06.134000+01:00
280,22.15,2022-01-11 01:37:40.986000+01:00
281,22.2,2022-01-11 01:54:15.800000+01:00
