,1GuestRoom,timestamp
107,15.25,2022-01-08 23:41:53.878000+01:00
108,15.45,2022-01-08 23:56:20.888000+01:00
109,15.6,2022-01-09 00:10:47.359000+01:00
110,15.65,2022-01-09 00:25:13.640000+01:00
111,15.95,2022-01-09 00:41:47.979000+01:00
112,15.7,2022-01-09 00:56:13.984000+01:00
113,15.65,2022-01-09 01:10:40.191000+01:00
114,15.65,2022-01-09 01:25:06.488000+01:00
115,15.65,2022-01-09 01:39:32.836000+01:00
116,15.65,2022-01-09 01:53:59.197000+01:00
117,15.6,2022-01-09 02:10:34.132000+01:00
118,15.65,2022-01-09 02:25:00.719000+01:00
119,15.65,2022-01-09 02:39:27.330000+01:00
120,15.65,2022-01-09 02:53:54.097000+01:00
121,15.65,2022-01-09 03:08:20.357000+01:00
122,15.7,2022-01-09 03:22:46.644000+01:00
123,15.65,2022-01-09 03:37:13.066000+01:00
124,15.75,2022-01-09 03:53:48.100000+01:00
125,15.6,2022-01-09 04:08:14.761000+01:00
126,15.55,2022-01-09 04:24:49.701000+01:00
127,15.5,2022-01-09 04:39:16.407000+01:00
128,15.55,2022-01-09 04:55:51.678000+01:00
129,15.6,2022-01-09 05:10:18.332000+01:00
130,15.45,2022-01-09 05:24:45+01:00
131,15.65,2022-01-09 05:39:11.898000+01:00
132,15.4,2022-01-09 05:53:38.822000+01:00
133,15.55,2022-01-09 06:10:14.304000+01:00
134,15.4,2022-01-09 06:24:41.283000+01:00
135,15.45,2022-01-09 06:39:08.173000+01:00
136,15.45,2022-01-09 06:53:35.170000+01:00
137,15.3,2022-01-09 07:08:02.376000+01:00
138,15.4,2022-01-09 07:24:37.819000+01:00
139,15.65,2022-01-09 07:39:04.464000+01:00
140,15.8,2022-01-09 07:53:30.796000+01:00
141,15.65,2022-01-09 08:10:05.763000+01:00
142,15.35,2022-01-09 08:24:32.677000+01:00
143,15.25,2022-01-09 08:38:59.908000+01:00
144,15.1,2022-01-09 08:53:27.603000+01:00
145,15.05,2022-01-09 09:07:55.553000+01:00
146,14.95,2022-01-09 09:22:23.790000+01:00
147,14.8,2022-01-09 09:36:52.356000+01:00
148,14.85,2022-01-09 09:51:21.320000+01:00
149,14.7,2022-01-09 10:05:50.578000+01:00
150,14.55,2022-01-09 10:20:20.054000+01:00
151,14.5,2022-01-09 10:36:58.633000+01:00
152,14.5,2022-01-09 10:51:28.363000+01:00
153,14.45,2022-01-09 11:05:58.028000+01:00
154,14.5,2022-01-09 11:20:27.856000+01:00
155,14.45,2022-01-09 11:34:57.557000+01:00
156,14.6,2022-01-09 11:49:27.293000+01:00
157,14.4,2022-01-09 12:03:57.051000+01:00
158,14.5,2022-01-09 12:18:26.913000+01:00
159,14.3,2022-01-09 12:32:56.931000+01:00
160,14.3,2022-01-09 12:49:36.030000+01:00
161,14.3,2022-01-09 13:04:06.159000+01:00
162,14.35,2022-01-09 13:18:36.264000+01:00
163,14.2,2022-01-09 13:33:06.395000+01:00
164,14.15,2022-01-09 13:47:36.929000+01:00
165,14.2,2022-01-09 14:02:07.514000+01:00
166,14.2,2022-01-09 14:16:38.017000+01:00
167,14.2,2022-01-09 14:31:08.791000+01:00
168,14.15,2022-01-09 14:45:39.566000+01:00
169,14.15,2022-01-09 15:00:10.338000+01:00
170,14.1,2022-01-09 15:14:41.436000+01:00
171,14.1,2022-01-09 15:29:12.647000+01:00
172,14.05,2022-01-09 15:43:43.992000+01:00
173,13.95,2022-01-09 15:58:15.250000+01:00
174,13.9,2022-01-09 16:12:46.457000+01:00
175,13.85,2022-01-09 16:27:17.768000+01:00
176,13.85,2022-01-09 16:41:49.167000+01:00
177,13.8,2022-01-09 16:56:20.549000+01:00
178,14.05,2022-01-09 17:10:51.799000+01:00
179,14.15,2022-01-09 17:25:22.383000+01:00
180,14.4,2022-01-09 17:39:52.480000+01:00
181,14.75,2022-01-09 17:54:22.001000+01:00
182,14.75,2022-01-09 18:08:50.956000+01:00
183,14.95,2022-01-09 18:23:19.347000+01:00
184,15.15,2022-01-09 18:37:47.149000+01:00
185,15.2,2022-01-09 18:52:14.528000+01:00
186,15.55,2022-01-09 19:08:49.668000+01:00
187,15.6,2022-01-09 19:23:16.016000+01:00
188,15.65,2022-01-09 19:39:50.558000+01:00
189,16.75,2022-01-09 19:54:16.039000+01:00
190,17.2,2022-01-09 20:10:45.258000+01:00
191,16.95,2022-01-09 20:27:15.117000+01:00
192,16.8,2022-01-09 20:41:37.632000+01:00
193,16.65,2022-01-09 20:58:08.399000+01:00
194,16.5,2022-01-09 21:12:31.866000+01:00
195,16.45,2022-01-09 21:29:03.574000+01:00
196,16.55,2022-01-09 21:43:27.421000+01:00
197,16.65,2022-01-09 21:57:50.644000+01:00
198,16.8,2022-01-09 22:14:21.337000+01:00
199,16.95,2022-01-09 22:28:43.901000+01:00
200,17.05,2022-01-09 22:45:13.842000+01:00
201,17.15,2022-01-09 22:59:35.618000+01:00
202,17.1,2022-01-09 23:16:04.903000+01:00
203,17.15,2022-01-09 23:30:26.880000+01:00
204,16.8,2022-01-09 23:44:49.315000+01:00
205,16.65,2022-01-10 00:01:19.848000+01:00
206,16.55,2022-01-10 00:15:42.958000+01:00
207,16.35,2022-01-10 00:32:14.407000+01:00
208,16.35,2022-01-10 00:46:38.282000+01:00
209,16.2,2022-01-10 01:03:10.494000+01:00
210,16.15,2022-01-10 01:17:34.833000+01:00
211,16.2,2022-01-10 01:31:59.183000+01:00
212,16.15,2022-01-10 01:48:31.404000+01:00
213,16.2,2022-01-10 02:02:55.850000+01:00
214,16.2,2022-01-10 02:19:28.411000+01:00
215,16.25,2022-01-10 02:33:52.868000+01:00
216,16.25,2022-01-10 02:48:16.948000+01:00
217,16.2,2022-01-10 03:02:41.168000+01:00
218,16.15,2022-01-10 03:19:13.635000+01:00
219,16.2,2022-01-10 03:33:38.084000+01:00
220,16.2,2022-01-10 03:48:02.499000+01:00
221,16.15,2022-01-10 04:02:26.961000+01:00
222,16.2,2022-01-10 04:18:59.606000+01:00
223,16.15,2022-01-10 04:33:24.125000+01:00
224,16.15,2022-01-10 04:47:48.671000+01:00
225,16.1,2022-01-10 05:04:21.305000+01:00
226,16.15,2022-01-10 05:18:45.924000+01:00
227,16.1,2022-01-10 05:35:18.736000+01:00
228,16.05,2022-01-10 05:49:43.505000+01:00
229,16.1,2022-01-10 06:06:16.265000+01:00
230,16.05,2022-01-10 06:20:40.898000+01:00
231,16.05,2022-01-10 06:35:05.504000+01:00
232,16.1,2022-01-10 06:49:30.084000+01:00
233,16.15,2022-01-10 07:06:02.565000+01:00
234,16.15,2022-01-10 07:20:26.946000+01:00
235,15.95,2022-01-10 07:36:59.606000+01:00
236,15.9,2022-01-10 07:51:24.716000+01:00
237,15.8,2022-01-10 08:05:50.137000+01:00
238,15.8,2022-01-10 08:20:15.448000+01:00
239,15.65,2022-01-10 08:36:49.638000+01:00
240,15.55,2022-01-10 08:51:15.936000+01:00
241,15.35,2022-01-10 09:07:50.760000+01:00
242,15.25,2022-01-10 09:22:17.517000+01:00
243,15.15,2022-01-10 09:36:44.834000+01:00
244,15.05,2022-01-10 09:51:12.457000+01:00
245,14.95,2022-01-10 10:07:49.127000+01:00
246,14.85,2022-01-10 10:22:17.164000+01:00
247,14.75,2022-01-10 10:36:45.583000+01:00
248,14.8,2022-01-10 10:51:14.362000+01:00
249,14.75,2022-01-10 11:05:43.122000+01:00
250,14.55,2022-01-10 11:20:12.046000+01:00
251,14.65,2022-01-10 11:36:50.134000+01:00
252,14.4,2022-01-10 11:51:19.583000+01:00
253,14.45,2022-01-10 12:05:49.191000+01:00
254,14.4,2022-01-10 12:20:18.777000+01:00
