,1MainDoor,timestamp
106,NOT_PRESENT,2022-01-13 16:28:17.124000+01:00
107,PRESENT,2022-01-13 16:28:31.101000+01:00
108,NOT_PRESENT,2022-01-13 16:29:30.978000+01:00
109,PRESENT,2022-01-13 16:29:43.600000+01:00
110,NOT_PRESENT,2022-01-14 07:55:59.012000+01:00
111,PRESENT,2022-01-14 07:56:03.792000+01:00
112,NOT_PRESENT,2022-01-14 07:57:51.650000+01:00
113,PRESENT,2022-01-14 07:57:57.614000+01:00
114,NOT_PRESENT,2022-01-14 08:05:39.360000+01:00
115,PRESENT,2022-01-14 08:05:49.369000+01:00
116,NOT_PRESENT,2022-01-14 08:08:38.696000+01:00
117,PRESENT,2022-01-14 08:08:43.054000+01:00
118,NOT_PRESENT,2022-01-14 08:08:50.696000+01:00
119,PRESENT,2022-01-14 08:08:54.149000+01:00
120,NOT_PRESENT,2022-01-14 08:16:21.838000+01:00
121,PRESENT,2022-01-14 08:16:29.726000+01:00
122,NOT_PRESENT,2022-01-14 15:12:01.948000+01:00
123,PRESENT,2022-01-14 15:12:14.636000+01:00
124,NOT_PRESENT,2022-01-14 16:26:55.240000+01:00
125,PRESENT,2022-01-14 16:27:04.333000+01:00
126,NOT_PRESENT,2022-01-14 16:27:42.442000+01:00
127,PRESENT,2022-01-14 16:27:47.495000+01:00
128,NOT_PRESENT,2022-01-14 16:41:06.806000+01:00
129,PRESENT,2022-01-14 16:41:10.255000+01:00
130,NOT_PRESENT,2022-01-14 16:41:59.272000+01:00
131,PRESENT,2022-01-14 16:42:06.348000+01:00
132,NOT_PRESENT,2022-01-14 16:50:36.148000+01:00
133,PRESENT,2022-01-14 16:50:43.887000+01:00
134,NOT_PRESENT,2022-01-14 19:23:42.323000+01:00
135,PRESENT,2022-01-14 19:24:21.716000+01:00
136,NOT_PRESENT,2022-01-14 19:24:48.337000+01:00
137,PRESENT,2022-01-14 19:24:53.391000+01:00
138,NOT_PRESENT,2022-01-14 19:31:38.884000+01:00
139,PRESENT,2022-01-14 19:31:42.342000+01:00
140,NOT_PRESENT,2022-01-14 19:32:00.110000+01:00
141,PRESENT,2022-01-14 19:32:05.834000+01:00
142,NOT_PRESENT,2022-01-15 07:56:48.793000+01:00
143,PRESENT,2022-01-15 07:56:59.939000+01:00
144,NOT_PRESENT,2022-01-15 08:01:46.120000+01:00
145,PRESENT,2022-01-15 08:01:51.177000+01:00
146,NOT_PRESENT,2022-01-15 08:04:10.688000+01:00
147,PRESENT,2022-01-15 08:04:14.697000+01:00
148,NOT_PRESENT,2022-01-15 08:06:49.004000+01:00
149,PRESENT,2022-01-15 08:06:53.633000+01:00
150,NOT_PRESENT,2022-01-15 08:11:09.325000+01:00
151,PRESENT,2022-01-15 08:11:13.714000+01:00
152,NOT_PRESENT,2022-01-16 13:43:33.270000+01:00
153,PRESENT,2022-01-16 13:43:37.396000+01:00
154,NOT_PRESENT,2022-01-16 14:34:14.559000+01:00
155,PRESENT,2022-01-16 14:34:20.287000+01:00
156,NOT_PRESENT,2022-01-16 15:03:24.205000+01:00
157,PRESENT,2022-01-16 15:03:54.051000+01:00
158,NOT_PRESENT,2022-01-17 07:34:31.779000+01:00
159,PRESENT,2022-01-17 07:34:45.199000+01:00
160,NOT_PRESENT,2022-01-17 07:35:39.256000+01:00
161,PRESENT,2022-01-17 07:35:47.025000+01:00
162,NOT_PRESENT,2022-01-17 07:37:12.629000+01:00
163,PRESENT,2022-01-17 07:37:26.053000+01:00
164,NOT_PRESENT,2022-01-17 07:42:43.046000+01:00
165,PRESENT,2022-01-17 07:42:57.128000+01:00
166,NOT_PRESENT,2022-01-17 08:00:38.186000+01:00
167,PRESENT,2022-01-17 08:00:44.833000+01:00
168,NOT_PRESENT,2022-01-17 08:16:31.157000+01:00
169,PRESENT,2022-01-17 08:16:35.546000+01:00
170,NOT_PRESENT,2022-01-17 14:53:18.341000+01:00
171,PRESENT,2022-01-17 14:53:23.404000+01:00
172,NOT_PRESENT,2022-01-17 15:49:16.916000+01:00
173,PRESENT,2022-01-17 15:49:21.712000+01:00
174,NOT_PRESENT,2022-01-17 16:06:18.592000+01:00
175,PRESENT,2022-01-17 16:06:36.309000+01:00
176,NOT_PRESENT,2022-01-18 07:31:03.458000+01:00
177,PRESENT,2022-01-18 07:32:33.760000+01:00
178,NOT_PRESENT,2022-01-18 07:43:30.202000+01:00
179,PRESENT,2022-01-18 07:43:36.601000+01:00
180,NOT_PRESENT,2022-01-18 15:36:22.611000+01:00
181,PRESENT,2022-01-18 15:36:28.333000+01:00
182,NOT_PRESENT,2022-01-18 15:57:46.427000+01:00
183,PRESENT,2022-01-18 15:57:49.866000+01:00
184,NOT_PRESENT,2022-01-18 16:17:10.238000+01:00
185,PRESENT,2022-01-18 16:17:27.165000+01:00
186,NOT_PRESENT,2022-01-19 08:05:24.931000+01:00
187,PRESENT,2022-01-19 08:06:39.247000+01:00
188,NOT_PRESENT,2022-01-19 08:49:02.149000+01:00
189,PRESENT,2022-01-19 08:49:08.531000+01:00
190,NOT_PRESENT,2022-01-19 08:49:38.446000+01:00
191,PRESENT,2022-01-19 08:49:44.829000+01:00
192,NOT_PRESENT,2022-01-19 11:45:08.083000+01:00
193,PRESENT,2022-01-19 11:45:14.481000+01:00
194,NOT_PRESENT,2022-01-19 15:28:18.126000+01:00
195,PRESENT,2022-01-19 15:28:22.250000+01:00
196,NOT_PRESENT,2022-01-19 15:51:11.116000+01:00
197,PRESENT,2022-01-19 15:51:25.160000+01:00
198,NOT_PRESENT,2022-01-20 07:26:14.977000+01:00
199,PRESENT,2022-01-20 07:26:23.366000+01:00
200,NOT_PRESENT,2022-01-20 07:51:41.620000+01:00
201,PRESENT,2022-01-20 07:51:48.369000+01:00
202,NOT_PRESENT,2022-01-20 07:52:22.641000+01:00
203,PRESENT,2022-01-20 07:52:53.964000+01:00
204,NOT_PRESENT,2022-01-20 07:53:00.400000+01:00
205,PRESENT,2022-01-20 07:53:20.231000+01:00
206,NOT_PRESENT,2022-01-20 07:55:39.302000+01:00
207,PRESENT,2022-01-20 07:55:42.668000+01:00
208,NOT_PRESENT,2022-01-20 15:39:22.823000+01:00
209,PRESENT,2022-01-20 15:39:28.576000+01:00
210,NOT_PRESENT,2022-01-20 15:59:30.262000+01:00
211,PRESENT,2022-01-20 15:59:48.697000+01:00
212,NOT_PRESENT,2022-01-21 07:42:19.765000+01:00
213,PRESENT,2022-01-21 07:42:26.417000+01:00
214,NOT_PRESENT,2022-01-21 07:43:01.877000+01:00
215,PRESENT,2022-01-21 07:43:07.184000+01:00
216,NOT_PRESENT,2022-01-21 07:47:41.254000+01:00
