"WindPower";"PVPower"
"R6509";942.489;0
"R6510";869.473;0
"R6511";715.296;44.297
"R6512";595.014;185.866
"R6513";588.379;522.044
"R6514";673.511;663.763
"R6515";806.149;706.088
"R6516";879.904;712.646
"R6517";810.597;690.939
"R6518";728.567;649.264
"R6519";642.934;413.162
"R6520";687;204.133
"R6521";859.173;162.1
"R6522";956.302;0
"R6523";815.694;0
"R6524";698.248;0
"R6525";548.85;0
"R6526";461.485;0
"R6527";495.855;0
"R6528";524.205;0
"R6529";481.492;0
"R6530";447.969;0
"R6531";478.883;0
"R6532";631.008;0
"R6533";1076.192;0
"R6534";1171.21;0
"R6535";1107.043;9.212
"R6536";1303.153;31.41
"R6537";1392.676;109.388
"R6538";1464.602;362.717
"R6539";1618.676;584.228
"R6540";1731.733;681.16
"R6541";1761.105;629.357
"R6542";1774.148;537.818
"R6543";1777.93;441.396
"R6544";1768.322;265.097
"R6545";1775.036;27.219
"R6546";1766.003;0
"R6547";1704.235;0
"R6548";1586.123;0
"R6549";1534.682;0
"R6550";1558.775;0
"R6551";1555.154;0
"R6552";1486.989;0
"R6553";1338.392;0
"R6554";1165.977;0
"R6555";984.475;0
"R6556";800.653;0
"R6557";695.004;0
"R6558";609.923;5.456
"R6559";481.414;164.973
"R6560";396.178;310.827
"R6561";686.48;377.029
"R6562";854.641;446.275
"R6563";1026.551;486.321
"R6564";1215.14;497.938
"R6565";1336.312;424.5
"R6566";1347.746;328.025
"R6567";1288.162;251.129
"R6568";1275.22;159.543
"R6569";1295.42;50.951
"R6570";1282.812;0
"R6571";1240.459;0
"R6572";1133.633;0
"R6573";1045.239;0
"R6574";856.243;0
"R6575";668.362;0
"R6576";622.743;0
"R6577";522.099;0
"R6578";510.841;0
"R6579";505.408;0
"R6580";494.247;0
"R6581";377.268;0
"R6582";355.549;1.363
"R6583";247.025;300.998
"R6584";115.307;589.326
"R6585";100.651;710.073
"R6586";90.067;766.724
"R6587";82.021;795.567
"R6588";99.922;803.831
"R6589";126.811;796.095
"R6590";152.842;740.083
"R6591";160.266;649.246
"R6592";206.773;400.536
"R6593";333.04;126.924
"R6594";376.988;0
"R6595";337.191;0
"R6596";271.121;0
"R6597";187.674;0
"R6598";141.603;0
"R6599";140.516;0
"R6600";220.364;0
"R6601";368.242;0
"R6602";423.051;0
"R6603";450.415;0
"R6604";456.659;0
"R6605";422.507;0
"R6606";356.684;0
"R6607";304.994;194.343
"R6608";315.717;419.953
"R6609";449.893;678.229
"R6610";516.977;750.668
"R6611";555.942;786.385
"R6612";577.841;799.829
"R6613";592.423;797.39
"R6614";582.693;776.53
"R6615";459.887;730.532
"R6616";413.342;611.214
"R6617";594.78;249.162
"R6618";738.493;0
"R6619";733.877;0
"R6620";694.073;0
"R6621";656.082;0
"R6622";668.335;0
"R6623";681.267;0
"R6624";686.598;0
"R6625";681.302;0
"R6626";646.955;0
"R6627";619.493;0
"R6628";569.733;0
"R6629";469.739;0
"R6630";527.452;1.61
"R6631";441.743;245.705
"R6632";187.706;598.089
"R6633";115.586;723.272
"R6634";111.107;779.893
"R6635";89.939;807.19
"R6636";66.529;813.863
"R6637";39.051;805.859
"R6638";22.735;753.495
"R6639";25.141;535.125
"R6640";21.695;251.69
"R6641";14.94;101.555
"R6642";21.343;0
"R6643";43.74;0
"R6644";101.878;0
"R6645";213.959;0
"R6646";417.056;0
"R6647";668.318;0
"R6648";841.271;0
"R6649";820.059;0
"R6650";702.041;0
"R6651";555.957;0
"R6652";452.309;0
"R6653";415.827;0
"R6654";346.847;0
"R6655";233.768;65.517
"R6656";149.009;433.461
"R6657";152.154;686.585
"R6658";174.471;761.891
"R6659";168.126;794.061
"R6660";168.198;805.747
"R6661";174.837;801.641
"R6662";172.496;778.103
"R6663";158.049;719.641
"R6664";185.593;583.951
"R6665";251.579;169.532
"R6666";303.941;0
"R6667";321.457;0
"R6668";308.828;0
"R6669";276.346;0
"R6670";264.874;0
"R6671";267.543;0
"R6672";278.541;0
"R6673";318.124;0
"R6674";402.803;0
"R6675";509.104;0
"R6676";604.864;0
"R6677";639.867;0
"R6678";641.695;0
"R6679";451.497;199.288
"R6680";179.157;511.279
"R6681";150.006;726.068
"R6682";211.521;789.104
"R6683";209.593;819.266
"R6684";220.556;830.763
"R6685";251.987;827.092
"R6686";281.051;805.277
"R6687";252.224;752.223
"R6688";429.504;627.295
"R6689";742.316;170.247
"R6690";858.077;0
"R6691";847.709;0
"R6692";850.076;0
"R6693";844.544;0
"R6694";833.043;0
"R6695";825.477;0
"R6696";859.154;0
"R6697";874.379;0
"R6698";874.962;0
"R6699";825.453;0
"R6700";764.049;0
"R6701";747.175;0
"R6702";710.047;0
"R6703";623.607;210.755
"R6704";355.419;599.969
"R6705";242.239;738.351
"R6706";406.078;798.548
"R6707";461.186;809.839
"R6708";523.802;779.018
"R6709";550.898;671.501
"R6710";571.662;574.342
"R6711";655.773;424.688
"R6712";749.024;177.672
"R6713";801.012;24.961
"R6714";857.841;0
"R6715";839.104;0
"R6716";755.585;0
"R6717";617.718;0
"R6718";585.813;0
"R6719";577.907;0
"R6720";589.849;0
"R6721";581.741;0
"R6722";566.398;0
"R6723";554.823;0
"R6724";549.39;0
"R6725";534.046;0
"R6726";537.184;0
"R6727";549.036;19.834
"R6728";607.956;61.561
"R6729";640.191;365.245
"R6730";675.151;715.3
"R6731";696.686;764.535
"R6732";726.097;777.843
"R6733";757.865;776.219
"R6734";790.205;748.895
"R6735";795.588;674.706
"R6736";820.035;507.363
"R6737";897.924;76.699
"R6738";907.818;0
"R6739";868.526;0
"R6740";854.054;0
"R6741";805.497;0
"R6742";723.24;0
"R6743";640.999;0
"R6744";633.201;0
"R6745";653.192;0
"R6746";640.167;0
"R6747";728.519;0
"R6748";704.754;0
"R6749";693.007;0
"R6750";689.965;0
"R6751";675.349;69.576
"R6752";522.059;406.279
"R6753";645.226;588.983
"R6754";844.569;704.969
"R6755";825.504;743.037
"R6756";792.352;737.187
"R6757";760.774;704.194
"R6758";700.689;677.358
"R6759";560.752;509.909
"R6760";560.316;282.164
"R6761";704.778;21.368
"R6762";707.038;0
"R6763";655.446;0
"R6764";608.233;0
"R6765";627.362;0
"R6766";603.712;0
"R6767";624.604;0
"R6768";588.608;0
"R6769";577.838;0
"R6770";740.737;0
"R6771";741.224;0
"R6772";765.583;0
"R6773";777.93;0
"R6774";790.117;0
"R6775";757.921;24.614
"R6776";760.513;120.226
"R6777";790.134;236.589
"R6778";839.143;270.13
"R6779";777.704;132.489
"R6780";717.043;58.434
"R6781";709.994;48.275
"R6782";707.123;44.317
"R6783";704.8;87.349
"R6784";739.441;59.388
"R6785";781.374;0.855
"R6786";751.302;0
"R6787";718.894;0
"R6788";673.825;0
"R6789";622.416;0
"R6790";527.53;0
"R6791";515.15;0
"R6792";501.88;0
"R6793";514.314;0
"R6794";527.466;0
"R6795";532.947;0
"R6796";548.32;0
"R6797";527.424;0
"R6798";535.117;0
"R6799";531.703;7.361
"R6800";490.476;52.091
"R6801";605.915;114.467
"R6802";672.215;179.339
"R6803";677.478;215.028
"R6804";653.815;178.301
"R6805";612.1;146.931
"R6806";564.939;114.425
"R6807";481.428;102.787
"R6808";485.941;42.658
"R6809";571.507;0.928
"R6810";589.537;0
"R6811";586.73;0
"R6812";544.012;0
"R6813";510.072;0
"R6814";485.972;0
"R6815";456.039;0
"R6816";404.573;0
"R6817";368.98;0
"R6818";353.975;0
"R6819";358.104;0
"R6820";388.378;0
"R6821";395.001;0
"R6822";403.931;0
"R6823";375.899;28.845
"R6824";314.308;142.263
"R6825";411.364;264.781
"R6826";385.163;272.481
"R6827";342.921;503.706
"R6828";324.146;580.517
"R6829";311.658;687.052
"R6830";295.459;711.2
"R6831";266.46;513.984
"R6832";245.346;304.474
"R6833";363.093;13.403
"R6834";385.467;0
"R6835";352.495;0
"R6836";338.353;0
"R6837";333.337;0
"R6838";334.906;0
"R6839";337.878;0
"R6840";336.714;0
"R6841";349.992;0
"R6842";363.831;0
"R6843";375.627;0
"R6844";370.244;0
"R6845";341.587;0
"R6846";294.563;0
"R6847";260.288;24.483
"R6848";155.067;114.556
"R6849";185.589;263.867
"R6850";154.795;449.388
"R6851";140.986;510.28
"R6852";135.859;584.527
"R6853";128.82;698.822
"R6854";125.489;728.46
"R6855";126.884;669.097
"R6856";125.74;442.881
"R6857";142.272;19.158
"R6858";128.733;0
"R6859";96.768;0
"R6860";81.441;0
"R6861";102.598;0
"R6862";149.412;0
"R6863";184.478;0
"R6864";193.173;0
"R6865";190.711;0
"R6866";178.675;0
"R6867";166.275;0
"R6868";154.911;0
"R6869";156.854;0
"R6870";166.185;0
"R6871";168.496;14.086
"R6872";91.711;84.375
"R6873";56.055;174.834
"R6874";42.338;229.111
"R6875";37.769;298.748
"R6876";36.855;456.998
"R6877";39.021;510.344
"R6878";43.834;514.685
"R6879";51.45;453.248
"R6880";89.081;246.988
"R6881";184.186;4.895
"R6882";268.501;0
"R6883";295.642;0
"R6884";309.152;0
"R6885";289.01;0
"R6886";246.165;0
"R6887";238.544;0
"R6888";221.183;0
"R6889";208.215;0
"R6890";209.39;0
"R6891";210.962;0
"R6892";214.564;0
"R6893";228.267;0
"R6894";243.124;0
"R6895";235.381;15.461
"R6896";212.164;83.568
"R6897";236.194;163.29
"R6898";237.831;202.538
"R6899";240.588;232.356
"R6900";281.415;280.838
"R6901";327.623;430.634
"R6902";360.229;446.257
"R6903";362.423;406.288
"R6904";351.138;160.087
"R6905";449.948;0.578
"R6906";407.555;0
"R6907";354.327;0
"R6908";299.182;0
"R6909";303.125;0
"R6910";312.626;0
"R6911";331.398;0
"R6912";345.388;0
"R6913";351.162;0
"R6914";357.676;0
"R6915";377.445;0
"R6916";518.139;0
"R6917";497.321;0
"R6918";544.023;0
"R6919";587.551;16.75
"R6920";522.802;107.971
"R6921";539.339;224.519
"R6922";634.874;292.451
"R6923";618.567;317.958
"R6924";639.764;418.291
"R6925";655.052;477.784
"R6926";604.912;493.333
"R6927";539.336;242.959
"R6928";603.514;72.792
"R6929";668.329;0
"R6930";601.809;0
"R6931";462.383;0
"R6932";420.724;0
"R6933";397.614;0
"R6934";374.132;0
"R6935";359.189;0
"R6936";328.977;0
"R6937";304.217;0
"R6938";260.447;0
"R6939";259.556;0
"R6940";261.261;0
"R6941";276.252;0
"R6942";289.513;0
"R6943";290.713;0
"R6944";247.732;15.101
"R6945";202.486;44.644
"R6946";235.081;76.68
"R6947";289.087;107.299
"R6948";325.955;109.391
"R6949";261.542;72.984
"R6950";241.211;57.413
"R6951";275.434;38.745
"R6952";343.889;11.221
"R6953";408.181;0
"R6954";409.778;0
"R6955";383.398;0
"R6956";372.094;0
"R6957";401.732;0
"R6958";352.493;0
"R6959";314.092;0
"R6960";336.161;0
"R6961";310.541;0
"R6962";353.103;0
"R6963";360.608;0
"R6964";334.174;0
"R6965";385.171;0
"R6966";357.696;0
"R6967";351.855;0
"R6968";321.071;7.275
"R6969";282.716;20.298
"R6970";242.667;31.341
"R6971";225.547;39.316
"R6972";190.019;31.066
"R6973";152.759;21.696
"R6974";152.85;12.575
"R6975";190.615;3.553
"R6976";209.769;0
"R6977";228.525;0
"R6978";242.608;0
"R6979";256.94;0
"R6980";268.488;0
"R6981";329.386;0
"R6982";359.139;0
"R6983";338.341;0
"R6984";325.076;0
"R6985";281.338;0
"R6986";265.545;0
"R6987";264.183;0
"R6988";259.302;0
"R6989";272.666;0
"R6990";260.731;0
"R6991";238.963;0
"R6992";209.797;1.56
"R6993";166.906;10.426
"R6994";162.745;21.856
"R6995";167.764;29.886
"R6996";172.568;32.758
"R6997";166.003;26.231
"R6998";154.158;24.54
"R6999";179.794;10.835
"R7000";241.619;0.88
"R7001";271.631;0
"R7002";255.653;0
"R7003";226.971;0
"R7004";233.958;0
"R7005";236.789;0
"R7006";251.625;0
"R7007";266.763;0
"R7008";248.268;0
"R7009";258.168;0
"R7010";267.881;0
"R7011";277.218;0
"R7012";276.803;0
"R7013";298.087;0
"R7014";310.278;0
"R7015";324.963;0
"R7016";309.21;13.36
"R7017";265.95;42.048
"R7018";235.57;75.99
"R7019";242.972;106.508
"R7020";274.842;123.816
"R7021";307.448;122.519
"R7022";269.224;93.247
"R7023";288.044;68.423
"R7024";394.285;31.786
"R7025";475.662;0
"R7026";498.914;0
"R7027";495.411;0
"R7028";481.638;0
"R7029";512.088;0
"R7030";483.631;0
"R7031";425.021;0
"R7032";371.709;0
"R7033";417.42;0
"R7034";399.734;0
"R7035";411.104;0
"R7036";500.78;0
"R7037";546.245;0
"R7038";495.737;0
"R7039";495.141;0
"R7040";475.981;13.191
"R7041";381.845;40.106
"R7042";373.743;70.934
"R7043";417.508;96.475
"R7044";439.376;94.413
"R7045";420.555;87.759
"R7046";361.622;49.849
"R7047";335.274;47.551
"R7048";463.601;12.818
"R7049";455.432;0
"R7050";386.327;0
"R7051";362.431;0
"R7052";338.082;0
"R7053";321.127;0
"R7054";352.273;0
"R7055";353.281;0
"R7056";390.553;0
"R7057";420.634;0
"R7058";440.57;0
"R7059";468.54;0
"R7060";516.97;0
"R7061";469.16;0
"R7062";556.018;0
"R7063";530.74;0
"R7064";556.552;29.503
"R7065";510.998;71.204
"R7066";462.316;95.609
"R7067";517.345;100.091
"R7068";534.599;101.578
"R7069";527.441;75.352
"R7070";500.546;46.487
"R7071";522.14;28.507
"R7072";596.848;7.175
"R7073";609.894;0
"R7074";563.272;0
"R7075";532.664;0
"R7076";467.598;0
"R7077";461.426;0
"R7078";458.457;0
"R7079";467.935;0
"R7080";450.456;0
"R7081";446.134;0
"R7082";486.052;0
"R7083";518.364;0
"R7084";524.173;0
"R7085";500.581;0
"R7086";492.225;0
"R7087";474.584;0
"R7088";465.828;9.53
"R7089";561.867;27.709
"R7090";707.492;46.885
"R7091";718.88;41.258
"R7092";715.306;32.888
"R7093";715.041;27.987
"R7094";716.064;28.33
"R7095";747.11;33.78
"R7096";801.729;10.875
"R7097";820.057;0
"R7098";803.902;0
"R7099";805.573;0
"R7100";818.043;0
"R7101";727.699;0
"R7102";717.339;0
"R7103";760.383;0
"R7104";775.083;0
"R7105";766.665;0
"R7106";765.251;0
"R7107";827.857;0
"R7108";946.617;0
"R7109";912.583;0
"R7110";889.065;0
"R7111";830.269;0
"R7112";835.649;10.587
"R7113";881.351;42.247
"R7114";909.44;79.669
"R7115";973.779;97.537
"R7116";921.722;104.786
"R7117";876.96;91.625
"R7118";863.056;64.768
"R7119";863.791;34.938
"R7120";810.802;6.252
"R7121";735.45;0
"R7122";619.525;0
"R7123";675.109;0
"R7124";582.72;0
"R7125";584.458;0
"R7126";544.011;0
"R7127";576.629;0
"R7128";503.312;0
"R7129";591.144;0
"R7130";558.782;0
"R7131";438.664;0
"R7132";403.497;0
"R7133";438.464;0
"R7134";446.048;0
"R7135";451.427;0
"R7136";366.433;2.842
"R7137";378.845;18.363
"R7138";393.964;32.659
"R7139";388.002;39.466
"R7140";373.247;40.903
"R7141";358.08;40.125
"R7142";370.237;30.49
"R7143";416.792;11.445
"R7144";461.04;0
"R7145";482.494;0
"R7146";577.844;0
"R7147";604.874;0
"R7148";609.956;0
"R7149";622.396;0
"R7150";577.762;0
"R7151";539.341;0
"R7152";454.789;0
"R7153";401.563;0
"R7154";318.175;0
"R7155";281.511;0
"R7156";311.679;0
"R7157";313.81;0
"R7158";317.665;0
"R7159";318.254;0
"R7160";265.932;27.301
"R7161";156.711;118.608
"R7162";102.96;224.863
"R7163";85.355;343.878
"R7164";82.553;444.349
"R7165";90.874;432.976
"R7166";83.353;353.001
"R7167";93.024;309.03
"R7168";90.06;86.352
"R7169";70.225;0
"R7170";66.154;0
"R7171";89.328;0
"R7172";139.824;0
"R7173";214.103;0
"R7174";277.329;0
"R7175";318.155;0
"R7176";316.499;0
"R7177";291.763;0
"R7178";294.312;0
"R7179";320.414;0
"R7180";292.419;0
"R7181";198.298;0
"R7182";160.037;0
"R7183";167.442;0
"R7184";171.368;14.032
"R7185";140.73;50.066
"R7186";157.583;79.136
"R7187";292.484;79.789
"R7188";303.02;51.132
"R7189";283.979;31.305
"R7190";309.228;15.336
"R7191";387.593;3.822
"R7192";472.493;0
"R7193";527.445;0
"R7194";556.035;0
"R7195";863.752;0
"R7196";729.103;0
"R7197";654.847;0
"R7198";686.444;0
"R7199";682.127;0
"R7200";604.868;0
"R7201";539.262;0
"R7202";501.475;0
"R7203";423.064;0
"R7204";410.884;0
"R7205";373.229;0
"R7206";417.211;0
"R7207";368.665;0
"R7208";363.976;16.153
"R7209";386.163;91.18
"R7210";389.508;216.379
"R7211";437.349;343.456
"R7212";490.575;396.829
"R7213";574.304;436.359
"R7214";646.57;409.681
"R7215";758.479;176.011
"R7216";832.129;23.58
"R7217";880.094;0
"R7218";871.161;0
"R7219";825.706;0
"R7220";752.464;0
"R7221";723.204;0
"R7222";763.365;0
"R7223";844.568;0
"R7224";836.659;0
"R7225";817.171;0
"R7226";697.68;0
"R7227";522.827;0
"R7228";546.425;0
"R7229";715.19;0
"R7230";751.583;0
"R7231";691.497;0
"R7232";640.15;86.684
"R7233";539.229;288.695
"R7234";507.305;370.091
"R7235";614.983;365.353
"R7236";747.596;404.152
"R7237";924.452;413.221
"R7238";1062.025;346.689
"R7239";1155.453;216.12
"R7240";1216.599;24.2
"R7241";1220.819;0
"R7242";1212.435;0
"R7243";1155.431;0
"R7244";1088.672;0
"R7245";1030.744;0
"R7246";976.7;0
"R7247";929.167;0
"R7248";897.773;0
"R7249";892.228;0
"R7250";973.766;0
"R7251";859.788;0
"R7252";830.958;0
"R7253";851.562;0
"R7254";858.576;0
"R7255";863.809;0
"R7256";816.899;166.963
"R7257";617.398;466.545
"R7258";497.325;620.544
"R7259";475.454;688.598
"R7260";656.432;713.228
"R7261";880.075;664.802
"R7262";910.719;577.602
"R7263";1013.364;480.42
"R7264";1147.443;81.183
"R7265";1138.544;0
"R7266";1099.453;0
"R7267";1053.833;0
"R7268";1001.437;0
"R7269";803.606;0
"R7270";705.778;0
"R7271";663.173;0
"R7272";669.965;0
"R7273";688.634;0
"R7274";686.48;0
"R7275";663.203;0
"R7276";631.332;0
"R7277";635.28;0
"R7278";664.417;0
"R7279";668.376;0
"R7280";581.406;150.049
"R7281";254.347;444.339
"R7282";91.488;603.907
"R7283";50.29;678.318
"R7284";37.587;698.966
"R7285";31.128;684.035
"R7286";45.176;619.511
"R7287";70.394;462.109
"R7288";67.436;55.173
"R7289";54.539;0
"R7290";54.846;0
"R7291";65.893;0
"R7292";81.413;0
"R7293";93.722;0
"R7294";99.211;0
"R7295";92.48;0
"R7296";75.407;0
"R7297";54.786;0
"R7298";34.246;0
"R7299";19.5;0
"R7300";12.678;0
"R7301";8.571;0
"R7302";15.515;0
"R7303";41.311;0
"R7304";61.399;32.171
"R7305";36.281;87.153
"R7306";22.39;129.247
"R7307";35.747;358.952
"R7308";62.251;135.227
"R7309";143.254;27.835
"R7310";271.486;11.399
"R7311";317.993;2.734
"R7312";341.414;0
"R7313";317.892;0
"R7314";274.208;0
"R7315";244.054;0
"R7316";193.599;0
"R7317";155.688;0
"R7318";114.5;0
"R7319";111.123;0
"R7320";145.206;0
"R7321";174.512;0
"R7322";220.064;0
"R7323";254.742;0
"R7324";242.585;0
"R7325";224.672;0
"R7326";196.477;0
"R7327";223.425;0
"R7328";268.569;13.451
"R7329";215.396;72.494
"R7330";166.032;113.562
"R7331";265.918;158.902
"R7332";473.931;154.073
"R7333";690.845;103.476
"R7334";813.177;65.469
"R7335";947.597;22.905
"R7336";1069.727;0
"R7337";1189.987;0
"R7338";1235.733;0
"R7339";1298.299;0
"R7340";1300.938;0
"R7341";1288.161;0
"R7342";1271.749;0
"R7343";1235.267;0
"R7344";1165.992;0
"R7345";1130.076;0
"R7346";1113.382;0
"R7347";1112.886;0
"R7348";1112.881;0
"R7349";1106.552;0
"R7350";1103.517;0
"R7351";1093.171;0
"R7352";1035.853;36.802
"R7353";901.457;150.639
"R7354";829.379;194.781
"R7355";839.103;220.032
"R7356";850.044;229.022
"R7357";850.444;260.936
"R7358";782.081;272.837
"R7359";715.274;268.259
"R7360";757.84;14.405
"R7361";681.296;0
"R7362";543.991;0
"R7363";503.77;0
"R7364";434.741;0
"R7365";400.142;0
"R7366";350.821;0
"R7367";310.012;0
"R7368";295.471;0
"R7369";308.944;0
"R7370";295.671;0
"R7371";279.064;0
"R7372";260.222;0
"R7373";245.233;0
"R7374";237.138;0
"R7375";226.373;0
"R7376";190.957;115.423
"R7377";90.105;366.3
"R7378";61.657;288.294
"R7379";33.978;199.984
"R7380";21.417;231.544
"R7381";17.499;254.003
"R7382";23.923;258.796
"R7383";55.898;214.4
"R7384";108.238;10.772
"R7385";137.992;0
"R7386";145.801;0
"R7387";164.973;0
"R7388";180.989;0
"R7389";188.949;0
"R7390";185.873;0
"R7391";168.182;0
"R7392";145.667;0
"R7393";135.9;0
"R7394";115.745;0
"R7395";94.229;0
"R7396";95.252;0
"R7397";110.571;0
"R7398";135.351;0
"R7399";164.369;0
"R7400";196.406;3.729
"R7401";232.528;28.374
"R7402";247.57;54.486
"R7403";262.765;70.679
"R7404";285.149;64.719
"R7405";321.319;41.482
"R7406";335.739;21.233
"R7407";367.763;5.232
"R7408";411.467;0
"R7409";507.187;0
"R7410";673.443;0
"R7411";675.258;0
"R7412";678.842;0
"R7413";691.948;0
"R7414";715.306;0
"R7415";739.836;0
"R7416";752.503;0
"R7417";790.139;0
"R7418";839.138;0
"R7419";915.564;0
"R7420";1011.722;0
"R7421";1136.913;0
"R7422";1209.248;0
"R7423";1314.517;0
"R7424";1401.4;0
"R7425";1467.784;8.631
"R7426";1506.159;26.76
"R7427";1523.082;37.287
"R7428";1536.409;37.841
"R7429";1526.872;27.512
"R7430";1514.62;15.013
"R7431";1518.878;3.931
"R7432";1530.771;0
"R7433";1536.326;0
"R7434";1540.168;0
"R7435";1536.414;0
"R7436";1526.905;0
"R7437";1514.023;0
"R7438";1498.361;0
"R7439";1474.696;0
"R7440";1462.109;0
"R7441";1446.648;0
"R7442";1435.456;0
"R7443";1413.675;0
"R7444";1374.112;0
"R7445";1334.996;0
"R7446";1283.878;0
"R7447";1235.745;0
"R7448";1171.236;20.276
"R7449";1081.854;157.302
"R7450";1040.591;284.731
"R7451";1001.243;296.708
"R7452";947.467;307.477
"R7453";905.694;234.619
"R7454";883.018;156.912
"R7455";858.813;67.279
"R7456";824.957;0
"R7457";814.61;0
"R7458";723.873;0
"R7459";700.735;0
"R7460";668.273;0
"R7461";587.134;0
"R7462";593.51;0
"R7463";677.289;0
"R7464";696.35;0
"R7465";728.544;0
"R7466";704.753;0
"R7467";712.093;0
"R7468";795.582;0
"R7469";835.741;0
"R7470";814.566;0
"R7471";778.475;0
"R7472";752.538;17.484
"R7473";693.465;114.832
"R7474";650.374;208.776
"R7475";670.358;317.91
"R7476";645.08;333.505
"R7477";640.112;335.901
"R7478";604.13;315.138
"R7479";645.234;178.095
"R7480";707.578;0
"R7481";763.956;0
"R7482";760.539;0
"R7483";740.169;0
"R7484";741.128;0
"R7485";763.148;0
"R7486";757.81;0
"R7487";772.255;0
"R7488";773.852;0
"R7489";748.752;0
"R7490";699.15;0
"R7491";690.493;0
"R7492";701.402;0
"R7493";668.347;0
"R7494";668.304;0
"R7495";775.865;0
"R7496";622.47;3.653
"R7497";621.583;40.879
"R7498";703.31;86.781
"R7499";673.514;126.396
"R7500";622.377;141.849
"R7501";676.674;131.878
"R7502";655.512;82.871
"R7503";658.002;31.743
"R7504";669.162;0
"R7505";650.355;0
"R7506";633.987;0
"R7507";587.639;0
"R7508";527.243;0
"R7509";527.508;0
"R7510";441.025;0
"R7511";445.796;0
"R7512";439.481;0
"R7513";434.862;0
"R7514";421.42;0
"R7515";436.475;0
"R7516";416.601;0
"R7517";428.175;0
"R7518";474.725;0
"R7519";629.985;0
"R7520";546.471;1.168
"R7521";426.988;22.699
"R7522";337.149;51.506
"R7523";341.941;75.679
"R7524";353.331;94.638
"R7525";324.497;85.705
"R7526";309.203;58.922
"R7527";357.683;27.702
"R7528";385.408;0
"R7529";381.459;0
"R7530";358.939;0
"R7531";337.269;0
"R7532";314.546;0
"R7533";281.509;0
"R7534";264.581;0
"R7535";246.655;0
"R7536";229.998;0
"R7537";208.722;0
"R7538";198.168;0
"R7539";190.458;0
"R7540";178.157;0
"R7541";168.192;0
"R7542";157.211;0
"R7543";152.829;0
"R7544";160.347;1.835
"R7545";178.988;37.313
"R7546";200.466;89.194
"R7547";140.561;146.672
"R7548";137.617;192.068
"R7549";167.825;181.628
"R7550";215.568;120.8
"R7551";306.573;60.417
"R7552";407.343;0
"R7553";435.186;0
"R7554";411.944;0
"R7555";388.329;0
"R7556";376.391;0
"R7557";318.463;0
"R7558";310.839;0
"R7559";317.711;0
"R7560";320.569;0
"R7561";327.195;0
"R7562";364.842;0
"R7563";422.032;0
"R7564";433.628;0
"R7565";416.627;0
"R7566";394.172;0
"R7567";353.497;0
"R7568";275.289;31.624
"R7569";188.887;296.382
"R7570";108.159;534.517
"R7571";45.116;641.264
"R7572";19.61;676.417
"R7573";9.36;629.711
"R7574";6.661;493.439
"R7575";13.265;282.997
"R7576";39.325;0
"R7577";65.245;0
"R7578";76.301;0
"R7579";106.332;0
"R7580";150.299;0
"R7581";154.54;0
"R7582";135.593;0
"R7583";114.28;0
"R7584";97.856;0
"R7585";85.787;0
"R7586";82.073;0
"R7587";83.383;0
"R7588";84.264;0
"R7589";73.691;0
"R7590";70.534;0
"R7591";86.512;0
"R7592";98.881;0.866
"R7593";82.635;24.863
"R7594";70.518;51.187
"R7595";37.925;114.992
"R7596";15.121;155.47
"R7597";66.268;153.542
"R7598";185.825;101.23
"R7599";417.999;38.827
"R7600";747.168;0
"R7601";717.87;0
"R7602";628.373;0
"R7603";488.66;0
"R7604";394.863;0
"R7605";409.133;0
"R7606";430.391;0
"R7607";447.795;0
"R7608";456.474;0
"R7609";577.613;0
"R7610";609.858;0
"R7611";624.411;0
"R7612";590.81;0
"R7613";577.748;0
"R7614";539.315;0
"R7615";439.153;0
"R7616";414.351;0
"R7617";380.101;7.136
"R7618";338.64;25.596
"R7619";305.667;38.496
"R7620";289.757;41.09
"R7621";293.709;38.626
"R7622";283.066;26.084
"R7623";256.019;6.437
"R7624";211.467;0
"R7625";156.8;0
"R7626";119.214;0
"R7627";102.222;0
"R7628";94.125;0
"R7629";95.072;0
"R7630";97.422;0
"R7631";98.025;0
"R7632";100.001;0
"R7633";117.99;0
"R7634";214.029;0
"R7635";308.861;0
"R7636";470.687;0
"R7637";555.995;0
"R7638";681.319;0
"R7639";736.697;0
"R7640";903.687;0
"R7641";982.197;0
"R7642";862.523;0.327
"R7643";851.95;1.608
"R7644";872.227;3.631
"R7645";877.67;4.543
"R7646";824.826;2.442
"R7647";785.222;0
"R7648";771.31;0
"R7649";747.149;0
"R7650";764.673;0
"R7651";673.492;0
"R7652";496.32;0
"R7653";329.073;0
"R7654";222.933;0
"R7655";213.477;0
"R7656";142.039;0
"R7657";73.806;0
"R7658";75.216;0
"R7659";169.747;0
"R7660";256.276;0
"R7661";320.23;0
"R7662";386.069;0
"R7663";417.827;0
"R7664";436.442;0
"R7665";437.764;2.742
"R7666";441.668;57.236
"R7667";466.275;159.602
"R7668";640.106;148.293
"R7669";633.483;207.295
"R7670";470.489;160.436
"R7671";408.201;39.292
"R7672";343.641;0
"R7673";357.558;0
"R7674";468.072;0
"R7675";555.988;0
"R7676";551.211;0
"R7677";519.354;0
"R7678";490.476;0
"R7679";441.245;0
"R7680";405.5;0
"R7681";367.269;0
"R7682";334.829;0
"R7683";335.893;0
"R7684";298.174;0
"R7685";304.205;0
"R7686";310.827;0
"R7687";324.682;0
"R7688";374.718;0
