"WindPower";"PVPower"
"R304";439.585;0
"R305";454.864;0
"R306";470.853;0
"R307";481.497;0
"R308";434.308;0
"R309";344.604;0
"R310";274.36;0
"R311";260.982;0
"R312";287.093;0
"R313";310.695;0
"R314";290.584;0
"R315";228.554;0
"R316";155.298;0
"R317";122.463;0
"R318";115.84;0
"R319";135.836;0
"R320";168.161;0
"R321";199.029;14.322
"R322";209.359;65.252
"R323";174.179;107.087
"R324";100.157;120.642
"R325";82.104;84.296
"R326";123.596;34.477
"R327";235.427;0.108
"R328";328.313;0
"R329";369.625;0
"R330";357.182;0
"R331";355.975;0
"R332";359.904;0
"R333";369.947;0
"R334";388.338;0
"R335";324.388;0
"R336";322.969;0
"R337";337.941;0
"R338";328.063;0
"R339";341.387;0
"R340";372.556;0
"R341";415.066;0
"R342";420.274;0
"R343";382.465;0
"R344";309.198;0
"R345";231.62;109.684
"R346";174.609;272.082
"R347";148.106;332.816
"R348";82.643;304.989
"R349";52.533;196.659
"R350";75.409;72.049
"R351";153.764;2.165
"R352";233.41;0
"R353";276.47;0
"R354";313.751;0
"R355";310.516;0
"R356";224.715;0
"R357";219.398;0
"R358";247.668;0
"R359";277.302;0
"R360";295.907;0
"R361";323.354;0
"R362";374.903;0
"R363";410.653;0
"R364";362.878;0
"R365";302.058;0
"R366";288.057;0
"R367";298.152;0
"R368";313.164;0
"R369";365.819;29.504
"R370";303.352;123.643
"R371";294.948;284.166
"R372";270.302;406.704
"R373";259.719;378.342
"R374";334.793;208.98
"R375";531.669;16.108
"R376";808.813;0
"R377";814.572;0
"R378";723.189;0
"R379";795.559;0
"R380";747.186;0
"R381";771.165;0
"R382";813.556;0
"R383";728.029;0
"R384";587.592;0
"R385";542.175;0
"R386";507.614;0
"R387";496.603;0
"R388";497.309;0
"R389";509.22;0
"R390";515.392;0
"R391";508.817;0
"R392";486.702;0
"R393";439.679;147.004
"R394";337.606;316.141
"R395";227.529;428.103
"R396";161.54;511.212
"R397";164.277;431.664
"R398";266.007;229.441
"R399";446.261;22.473
"R400";577.836;0
"R401";609.556;0
"R402";629.751;0
"R403";625.272;0
"R404";587.675;0
"R405";562.894;0
"R406";530.04;0
"R407";497.337;0
"R408";567.439;0
"R409";618.779;0
"R410";586.466;0
"R411";442.632;0
"R412";372.524;0
"R413";344.809;0
"R414";321.708;0
"R415";317.511;0
"R416";323.113;0
"R417";339.674;6.112
"R418";296.64;25.75
"R419";163.307;42.69
"R420";136.977;53.383
"R421";131.994;51.022
"R422";161.534;33.981
"R423";260.878;3.499
"R424";349.958;0
"R425";389.697;0
"R426";440.576;0
"R427";472.346;0
"R428";474.235;0
"R429";444.309;0
"R430";527.488;0
"R431";621.868;0
"R432";574.866;0
"R433";436.635;0
"R434";395.927;0
"R435";398.007;0
"R436";403.755;0
"R437";461.456;0
"R438";483.976;0
"R439";445.454;0
"R440";428.07;0
"R441";454.824;132.836
"R442";431.743;227.899
"R443";319.268;262.402
"R444";190.854;167.333
"R445";149.369;76.556
"R446";176.148;28.608
"R447";263.148;1.408
"R448";329.875;0
"R449";340.326;0
"R450";343.03;0
"R451";364.857;0
"R452";405.507;0
"R453";419.67;0
"R454";436.244;0
"R455";528.46;0
"R456";686.416;0
"R457";668.284;0
"R458";570.931;0
"R459";593.926;0
"R460";527.502;0
"R461";490.515;0
"R462";476.657;0
"R463";500.322;0
"R464";454.514;0
"R465";419.182;131.723
"R466";374.246;268.885
"R467";302.578;471.677
"R468";261.443;539.198
"R469";269.173;485.767
"R470";383.463;295.486
"R471";650.308;51.828
"R472";825.453;0
"R473";863.784;0
"R474";826.025;0
"R475";620.68;0
"R476";562.742;0
"R477";567.434;0
"R478";540.498;0
"R479";461.427;0
"R480";469.602;0
"R481";468.328;0
"R482";476.64;0
"R483";557.749;0
"R484";561.334;0
"R485";662.991;0
"R486";733.883;0
"R487";789.356;0
"R488";853.472;0
"R489";827.507;250.801
"R490";686.49;496.782
"R491";404.601;600.266
"R492";229.354;608.911
"R493";179.558;529.368
"R494";218.711;320.227
"R495";235.456;62.346
"R496";239.74;0
"R497";234.531;0
"R498";205.005;0
"R499";168.154;0
"R500";128.463;0
"R501";95.832;0
"R502";84.036;0
"R503";82.243;0
"R504";74.257;0
"R505";64.528;0
"R506";59.469;0
"R507";63.127;0
"R508";56.777;0
"R509";53.915;0
"R510";44.359;0
"R511";22.442;0
"R512";12.463;0
"R513";12.705;27.006
"R514";8.324;83.096
"R515";4.54;115.788
"R516";16.633;112.341
"R517";37.38;78.973
"R518";101.648;36.247
"R519";209.741;1.722
"R520";288.749;0
"R521";255.02;0
"R522";228.119;0
"R523";338.746;0
"R524";358.888;0
"R525";314.322;0
"R526";395.287;0
"R527";332.781;0
"R528";235.412;0
"R529";232.831;0
"R530";241.966;0
"R531";236.056;0
"R532";225.604;0
"R533";233.431;0
"R534";242.786;0
"R535";245.747;0
"R536";252.698;0
"R537";254.663;7.36
"R538";234.782;34.623
"R539";169.266;55.587
"R540";166.272;69.904
"R541";191.651;81.911
"R542";235.07;45.873
"R543";305.207;4.611
"R544";328.778;0
"R545";270.711;0
"R546";251.909;0
"R547";262.194;0
"R548";248.805;0
"R549";231.886;0
"R550";280.345;0
"R551";265.03;0
"R552";197.472;0
"R553";118.644;0
"R554";99.691;0
"R555";132.179;0
"R556";156.053;0
"R557";158.249;0
"R558";169.114;0
"R559";178.328;0
"R560";167.775;0
"R561";155.904;94.494
"R562";119.314;217.787
"R563";55.113;256.677
"R564";23.554;153.07
"R565";18.108;65.201
"R566";23.83;23.115
"R567";26.797;0.873
"R568";32.078;0
"R569";26.847;0
"R570";18.469;0
"R571";19.06;0
"R572";18.371;0
"R573";26.558;0
"R574";49.283;0
"R575";89.944;0
"R576";122.661;0
"R577";122.111;0
"R578";93.475;0
"R579";72.137;0
"R580";51.465;0
"R581";22.341;0
"R582";9.174;0
"R583";4.581;0
"R584";7.161;0
"R585";28.885;3.95
"R586";33.934;16.75
"R587";30.557;26.609
"R588";42.789;27.437
"R589";67.147;20.618
"R590";96.737;9.627
"R591";144.339;0
"R592";184.478;0
"R593";207.295;0
"R594";235.477;0
"R595";276.05;0
"R596";316.304;0
"R597";355.994;0
"R598";408.909;0
"R599";470.87;0
"R600";485.951;0
"R601";663.2;0
"R602";673.51;0
"R603";503.424;0
"R604";650.32;0
"R605";407.56;0
"R606";389.145;0
"R607";426.688;0
"R608";446.117;0
"R609";413.632;22.654
"R610";413.187;66.296
"R611";378.227;67.713
"R612";335.063;99.827
"R613";294.917;51.251
"R614";311.686;10.983
"R615";439.613;0
"R616";561.269;0
"R617";691.397;0
"R618";1220.461;0
"R619";1448.529;0
"R620";1591.315;0
"R621";1623.446;0
"R622";1474.329;0
"R623";1197.3;0
"R624";965.47;0
"R625";761.862;0
"R626";625.244;0
"R627";564.926;0
"R628";577.754;0
"R629";582.634;0
"R630";531.181;0
"R631";495.199;0
"R632";472.543;0
"R633";433.757;2.012
"R634";432.029;7.949
"R635";416.241;26.403
"R636";370.561;47.763
"R637";300.739;37.878
"R638";282.988;18.209
"R639";273.758;0.947
"R640";150.335;0
"R641";82.308;0
"R642";131.514;0
"R643";135.897;0
"R644";148.869;0
"R645";238.099;0
"R646";307.437;0
"R647";220.92;0
"R648";142.195;0
"R649";125.755;0
"R650";372.631;0
"R651";645.284;0
"R652";863.258;0
"R653";911.848;0
"R654";892.441;0
"R655";805.048;0
"R656";784.149;0
"R657";763.184;24.312
"R658";787.429;106.168
"R659";763.466;275.559
"R660";712.856;370.387
"R661";572.774;290.287
"R662";555.939;116.194
"R663";618.66;18.011
"R664";668.379;0
"R665";642.782;0
"R666";588.15;0
"R667";566.769;0
"R668";557.768;0
"R669";539.317;0
"R670";494.649;0
"R671";481.501;0
"R672";498.173;0
"R673";523.717;0
"R674";548.792;0
"R675";587.57;0
"R676";667.429;0
"R677";713.73;0
"R678";898.585;0
"R679";1020.647;0
"R680";1095.624;0
"R681";1215.687;0
"R682";1305.132;0
"R683";1464.814;1.519
"R684";1610.56;1.86
"R685";1657.173;0.755
"R686";1811.199;4.672
"R687";1860.09;0.205
"R688";1844.273;0
"R689";1885.704;0
"R690";1867.204;0
"R691";1851.433;0
"R692";1852.946;0
"R693";1858.652;0
"R694";1784.192;0
"R695";1753.808;0
"R696";1558.872;0
"R697";1420.524;0
"R698";1330.905;0
"R699";1260.926;0
"R700";1262.023;0
"R701";1373.231;0
"R702";1601.401;0
"R703";1647.892;0
"R704";1420.585;0
"R705";1299.768;61.865
"R706";1243.691;190.465
"R707";1147.526;303.491
"R708";1165.489;297.469
"R709";1306.328;233.637
"R710";1402.587;110.985
"R711";1364.354;21.024
"R712";1242.258;0
"R713";1094.068;0
"R714";899.582;0
"R715";736.44;0
"R716";752.46;0
"R717";694.158;0
"R718";635.491;0
"R719";633.752;0
"R720";639.863;0
"R721";609.539;0
"R722";582.667;0
"R723";398.234;0
"R724";318.642;0
"R725";485.938;0
"R726";593.027;0
"R727";555.944;0
"R728";567.817;15.034
"R729";529.971;251.601
"R730";308.265;388.288
"R731";235.461;405.785
"R732";254.134;386.279
"R733";280.909;340.144
"R734";342.426;227.048
"R735";503.609;64.89
"R736";662.013;0
"R737";701.678;0
"R738";686.495;0
"R739";595.963;0
"R740";688.218;0
"R741";655.423;0
"R742";561.355;0
"R743";556.03;0
"R744";566.527;0
"R745";562.545;0
"R746";514.393;0
"R747";481.477;0
"R748";433.166;0
"R749";357.484;0
"R750";362.419;0
"R751";359.949;0
"R752";262.028;5.77
"R753";179.845;65.92
"R754";164.525;70.688
"R755";185.605;60.897
"R756";276.772;23.061
"R757";385.437;26.611
"R758";495.643;15.337
"R759";612.754;4.39
"R760";1044.18;0
"R761";814.112;0
"R762";609.928;0
"R763";481.449;0
"R764";518.085;0
"R765";565.745;0
"R766";608.448;0
"R767";616.109;0
"R768";609.849;0
"R769";606.058;0
"R770";633.055;0
"R771";645.287;0
"R772";611.029;0
"R773";554.256;0
"R774";489.077;0
"R775";434.323;0
"R776";424.422;0
"R777";446.078;7.284
"R778";456.124;14.493
"R779";472.831;18.048
"R780";544.094;16.912
"R781";585.932;11.679
"R782";582.729;4.317
"R783";545.445;0
"R784";476.193;0
"R785";325.275;0
"R786";151.737;0
"R787";57.519;0
"R788";228.304;0
"R789";586.941;0
"R790";650.228;0
"R791";800.978;0
"R792";1077.86;0
"R793";1131.584;0
"R794";960.085;0
"R795";749.936;0
"R796";723.139;0
"R797";621.796;0
"R798";556.539;0
"R799";511.647;0
"R800";454.775;51.066
"R801";357.979;305.707
"R802";254.201;375.895
"R803";181.43;441.94
"R804";152.269;516.175
"R805";166.231;494.054
"R806";275.373;363.99
"R807";561.639;127.504
"R808";844.761;0
"R809";858.664;0
"R810";807.909;0
"R811";721.971;0
"R812";695.462;0
"R813";671.434;0
"R814";717.11;0
"R815";677.692;0
"R816";656.527;0
"R817";619.341;0
"R818";622.494;0
"R819";655.222;0
"R820";686.431;0
"R821";719.213;0
"R822";728.336;0
"R823";707.301;0
"R824";655.461;17.399
"R825";539.236;127.331
"R826";385.961;401.728
"R827";296.283;669.533
"R828";334.719;684.799
"R829";389.8;632.716
"R830";471.704;488.094
"R831";624.826;213.694
"R832";844.601;0.256
"R833";913.331;0
"R834";914.689;0
"R835";814.605;0
"R836";782.37;0
"R837";743.044;0
"R838";723.269;0
"R839";687.519;0
"R840";673.44;0
"R841";640.131;0
"R842";633.703;0
"R843";598.856;0
"R844";556.722;0
"R845";527.493;0
"R846";509.04;0
"R847";465.841;0
"R848";364.704;33.263
"R849";249.064;206.118
"R850";125.423;274.497
"R851";56.796;196.58
"R852";52.893;103.168
"R853";105.203;67.801
