"Year";"IsDayBin";"Month";"WindSpeed";"IrrDirect";"IrrDiffuse";"Temperature";"Percipitation";"SnowFlow";"SnowMass";"AirDensity";"RadSurface";"RadTop";"CloudCover"
"R8021";2016;Night;11;7.62;0;0;-1.076;0.002;0.002;4.039;1.25;0;0;0.296
"R8022";2016;Night;11;7.555;0;0;-1.413;0.002;0.002;4.033;1.252;0;0;0.623
"R8023";2016;Night;11;7.484;0;0;-1.599;0.003;0.003;4.029;1.253;0;0;0.81
"R8024";2016;Night;11;7.402;0;0;-1.788;0.003;0.002;4.024;1.254;0;0;0.876
"R8025";2016;Day;11;7.225;0.021;0.007;-1.935;0.002;0.002;4.022;1.255;11.476;40.1;0.946
"R8026";2016;Day;11;6.89;0.052;0.026;-1.406;0.001;0;4.018;1.255;45.916;133.604;0.943
"R8027";2016;Day;11;6.379;0.112;0.043;-0.772;0;0;4.01;1.254;79.307;189.446;0.857
"R8028";2016;Day;11;6.306;0.162;0.048;-0.409;0;0;3.996;1.252;92.962;201.886;0.815
"R8029";2016;Day;11;6.534;0.099;0.037;-0.352;0;0;3.982;1.251;67.185;170.094;0.801
"R8030";2016;Day;11;6.909;0.056;0.018;-0.753;0;0;3.975;1.251;31.485;96.225;0.534
"R8031";2016;Day;11;7.439;0.007;0.001;-1.801;0;0;3.973;1.252;2.566;9.431;0.197
"R8032";2016;Night;11;7.189;0;0;-2.41;0;0;3.973;1.254;0;0;0.136
"R8033";2016;Night;11;6.877;0;0;-3.079;0;0;3.973;1.257;0;0;0.252
"R8034";2016;Night;11;6.885;0;0;-3.71;0;0;3.975;1.259;0;0;0.656
"R8035";2016;Night;11;6.718;0;0;-3.821;0;0;3.976;1.261;0;0;0.888
"R8036";2016;Night;11;6.28;0;0;-4.003;0.001;0.001;3.978;1.263;0;0;0.935
"R8037";2016;Night;11;5.818;0;0;-4.221;0.001;0.001;3.98;1.264;0;0;0.971
"R8038";2016;Night;11;5.398;0;0;-3.92;0.004;0.004;3.982;1.264;0;0;0.989
"R8039";2016;Night;11;5.01;0;0;-3.606;0.032;0.032;3.998;1.263;0;0;0.995
"R8040";2016;Night;11;4.537;0;0;-3.434;0.102;0.102;4.066;1.261;0;0;0.997
"R8041";2016;Night;12;3.778;0;0;-3.105;0.191;0.191;4.218;1.26;0;0;0.997
"R8042";2016;Night;12;2.826;0;0;-2.51;0.245;0.245;4.445;1.259;0;0;0.996
"R8043";2016;Night;12;2.662;0;0;-2.34;0.302;0.285;4.708;1.257;0;0;0.996
"R8044";2016;Night;12;3.76;0;0;-2.717;0.317;0.296;5.009;1.256;0;0;0.996
"R8045";2016;Night;12;4.056;0;0;-2.733;0.277;0.261;5.288;1.256;0;0;0.996
"R8046";2016;Night;12;3.523;0;0;-2.718;0.138;0.128;5.484;1.256;0;0;0.996
"R8047";2016;Night;12;2.866;0;0;-2.713;0.03;0.026;5.543;1.255;0;0;0.991
"R8048";2016;Night;12;2.154;0;0;-2.864;0.008;0.007;5.556;1.253;0;0;0.988
"R8049";2016;Day;12;2.712;0.005;0.004;-2.954;0.004;0.004;5.562;1.252;6.649;37.106;0.992
"R8050";2016;Day;12;3.472;0.012;0.018;-2.522;0.002;0.002;5.564;1.249;29.011;129.886;0.992
"R8051";2016;Day;12;4.221;0.019;0.029;-1.809;0.001;0.001;5.565;1.247;46.676;185.696;0.934
"R8052";2016;Day;12;4.714;0.056;0.041;-1.164;0;0;5.562;1.244;69.143;198.136;0.629
"R8053";2016;Day;12;5.377;0.147;0.04;-0.814;0;0;5.552;1.241;76.018;166.362;0.322
"R8054";2016;Day;12;7.194;0.085;0.02;-0.752;0;0;5.513;1.238;35.24;92.569;0.268
"R8055";2016;Day;12;9.074;0.005;0.001;-0.177;0.001;0;5.4;1.235;2.039;8.071;0.216
"R8056";2016;Night;12;9.31;0;0;-0.073;0.001;0;5.323;1.236;0;0;0.212
"R8057";2016;Night;12;9.095;0;0;-0.307;0;0;5.292;1.238;0;0;0.2
"R8058";2016;Night;12;8.999;0;0;-0.906;0;0;5.275;1.242;0;0;0.2
"R8059";2016;Night;12;9.087;0;0;-1.278;0;0;5.258;1.246;0;0;0.254
"R8060";2016;Night;12;9.145;0;0;-1.48;0;0;5.24;1.248;0;0;0.291
"R8061";2016;Night;12;9.108;0;0;-1.634;0;0;5.224;1.251;0;0;0.299
"R8062";2016;Night;12;8.917;0;0;-1.79;0;0;5.209;1.253;0;0;0.278
"R8063";2016;Night;12;8.821;0;0;-1.998;0;0;5.196;1.255;0;0;0.161
"R8064";2016;Night;12;8.77;0;0;-2.28;0;0;5.184;1.257;0;0;0.059
"R8065";2016;Night;12;8.663;0;0;-2.622;0;0;5.173;1.259;0;0;0.028
"R8066";2016;Night;12;8.601;0;0;-2.869;0;0;5.163;1.261;0;0;0.054
"R8067";2016;Night;12;8.438;0;0;-2.867;0;0;5.152;1.261;0;0;0.106
"R8068";2016;Night;12;8.18;0;0;-2.599;0;0;5.141;1.26;0;0;0.208
"R8069";2016;Night;12;8.023;0;0;-2.165;0;0;5.132;1.259;0;0;0.31
"R8070";2016;Night;12;7.984;0;0;-1.784;0;0;5.122;1.258;0;0;0.324
"R8071";2016;Night;12;7.921;0;0;-1.545;0;0;5.114;1.257;0;0;0.284
"R8072";2016;Night;12;7.731;0;0;-1.516;0;0;5.107;1.258;0;0;0.215
"R8073";2016;Day;12;7.297;0.047;0.006;-2.104;0;0;5.106;1.261;11.942;34.352;0.149
"R8074";2016;Day;12;6.945;0.181;0.028;-1.554;0;0;5.106;1.263;59.616;126.332;0.146
"R8075";2016;Day;12;6.542;0.299;0.04;-0.874;0;0;5.101;1.262;96.722;182.071;0.17
"R8076";2016;Day;12;6.34;0.347;0.042;-0.478;0;0;5.093;1.261;106.767;194.565;0.169
"R8077";2016;Day;12;6.417;0.318;0.036;-0.506;0;0;5.086;1.261;86.31;162.8;0.149
"R8078";2016;Day;12;6.786;0.188;0.019;-1.398;0;0;5.084;1.262;39.906;89.07;0.337
"R8079";2016;Day;12;7.348;0.009;0.001;-2.803;0;0;5.086;1.263;1.939;6.867;0.519
"R8080";2016;Night;12;7.395;0;0;-3.419;0;0;5.089;1.265;0;0;0.255
"R8081";2016;Night;12;7.26;0;0;-3.712;0;0;5.091;1.267;0;0;0.164
"R8082";2016;Night;12;7.112;0;0;-3.912;0;0;5.093;1.27;0;0;0.204
"R8083";2016;Night;12;7.024;0;0;-4.044;0;0;5.094;1.273;0;0;0.254
"R8084";2016;Night;12;7.058;0;0;-4.183;0;0;5.096;1.275;0;0;0.339
"R8085";2016;Night;12;6.911;0;0;-4.299;0;0;5.097;1.277;0;0;0.502
"R8086";2016;Night;12;6.63;0;0;-4.531;0;0;5.099;1.28;0;0;0.769
"R8087";2016;Night;12;6.304;0;0;-4.821;0;0;5.1;1.282;0;0;0.663
"R8088";2016;Night;12;6.108;0;0;-5.125;0;0;5.101;1.284;0;0;0.894
"R8089";2016;Night;12;5.866;0;0;-5.146;0;0;5.102;1.285;0;0;0.913
"R8090";2016;Night;12;5.661;0;0;-5.113;0;0;5.103;1.285;0;0;0.79
"R8091";2016;Night;12;5.534;0;0;-5.073;0.001;0.001;5.104;1.286;0;0;0.767
"R8092";2016;Night;12;5.442;0;0;-4.877;0.001;0.001;5.106;1.285;0;0;0.796
"R8093";2016;Night;12;5.453;0;0;-4.618;0.002;0.002;5.108;1.283;0;0;0.86
"R8094";2016;Night;12;5.48;0;0;-4.407;0.003;0.003;5.11;1.282;0;0;0.932
"R8095";2016;Night;12;5.429;0;0;-4.188;0.004;0.004;5.114;1.281;0;0;0.969
"R8096";2016;Night;12;5.33;0;0;-3.963;0.004;0.004;5.118;1.28;0;0;0.996
"R8097";2016;Day;12;5.211;0.002;0.002;-3.665;0.005;0.005;5.122;1.279;4.067;31.807;0.997
"R8098";2016;Day;12;4.693;0.004;0.012;-3.154;0.006;0.006;5.127;1.278;19.2;122.923;0.997
"R8099";2016;Day;12;4.059;0.005;0.02;-2.677;0.008;0.008;5.132;1.277;31.305;178.686;0.997
"R8100";2016;Day;12;3.616;0.006;0.022;-2.309;0.01;0.01;5.138;1.276;33.863;191.136;0.996
"R8101";2016;Day;12;3.302;0.006;0.018;-2.098;0.009;0.009;5.145;1.274;28.578;159.415;0.995
"R8102";2016;Day;12;3.219;0.006;0.009;-2.211;0.011;0.011;5.154;1.274;14.625;85.726;0.997
"R8103";2016;Day;12;3.212;0;0;-2.519;0.011;0.011;5.164;1.273;0.644;5.808;0.997
"R8104";2016;Night;12;3.046;0;0;-2.569;0.012;0.012;5.176;1.273;0;0;0.997
"R8105";2016;Night;12;2.845;0;0;-2.592;0.008;0.008;5.186;1.272;0;0;0.992
"R8106";2016;Night;12;2.725;0;0;-2.822;0.004;0.004;5.192;1.272;0;0;0.985
"R8107";2016;Night;12;2.775;0;0;-3.163;0.001;0.001;5.195;1.272;0;0;0.978
"R8108";2016;Night;12;2.951;0;0;-3.436;0;0;5.196;1.272;0;0;0.972
"R8109";2016;Night;12;3.093;0;0;-3.586;0;0;5.197;1.272;0;0;0.975
"R8110";2016;Night;12;3.253;0;0;-3.641;0;0;5.198;1.272;0;0;0.981
"R8111";2016;Night;12;3.42;0;0;-3.708;0;0;5.198;1.272;0;0;0.979
"R8112";2016;Night;12;3.584;0;0;-3.79;0;0;5.199;1.272;0;0;0.972
"R8113";2016;Night;12;3.799;0;0;-3.888;0;0;5.2;1.272;0;0;0.96
"R8114";2016;Night;12;4.12;0;0;-3.969;0.001;0.001;5.202;1.272;0;0;0.945
"R8115";2016;Night;12;4.47;0;0;-4.09;0.001;0.001;5.204;1.272;0;0;0.906
"R8116";2016;Night;12;4.806;0;0;-4.232;0;0;5.206;1.272;0;0;0.841
"R8117";2016;Night;12;5.157;0;0;-4.3;0.001;0.001;5.208;1.272;0;0;0.921
"R8118";2016;Night;12;5.462;0;0;-4.357;0.001;0.001;5.211;1.272;0;0;0.956
"R8119";2016;Night;12;5.634;0;0;-4.458;0.001;0.001;5.215;1.272;0;0;0.96
"R8120";2016;Night;12;5.737;0;0;-4.478;0.003;0.003;5.219;1.272;0;0;0.964
"R8121";2016;Day;12;5.855;0.022;0.005;-4.175;0.005;0.005;5.225;1.273;8.464;29.471;0.963
"R8122";2016;Day;12;5.518;0.075;0.025;-2.853;0.002;0.002;5.23;1.271;45.313;119.707;0.942
"R8123";2016;Day;12;4.973;0.176;0.041;-1.586;0.001;0.001;5.22;1.269;82.385;175.436;0.88
"R8124";2016;Day;12;4.783;0.229;0.044;-0.874;0;0;5.18;1.266;93.738;187.844;0.856
"R8125";2016;Day;12;5.176;0.197;0.036;-0.662;0.002;0;5.142;1.263;74.434;156.177;0.831
"R8126";2016;Day;12;5.79;0.08;0.017;-1.057;0.004;0.001;5.129;1.261;30.138;82.549;0.863
"R8127";2016;Day;12;6.284;0.002;0.001;-1.246;0.007;0.006;5.133;1.258;0.973;4.883;0.894
"R8128";2016;Night;12;6.406;0;0;-0.775;0.006;0.006;5.133;1.255;0;0;0.893
"R8129";2016;Night;12;6.558;0;0;-0.488;0.003;0.002;5.122;1.253;0;0;0.865
"R8130";2016;Night;12;6.806;0;0;-0.455;0.001;0;5.106;1.25;0;0;0.815
"R8131";2016;Night;12;7.055;0;0;-0.47;0;0;5.092;1.248;0;0;0.798
"R8132";2016;Night;12;7.182;0;0;-0.36;0;0;5.067;1.248;0;0;0.849
"R8133";2016;Night;12;7.235;0;0;-0.165;0.001;0;5.023;1.247;0;0;0.855
"R8134";2016;Night;12;7.386;0;0;-0.024;0;0;4.976;1.247;0;0;0.868
"R8135";2016;Night;12;7.434;0;0;0.18;0;0;4.929;1.245;0;0;0.868
"R8136";2016;Night;12;7.22;0;0;0.385;0.001;0;4.884;1.244;0;0;0.874
"R8137";2016;Night;12;7.181;0;0;0.519;0.001;0;4.834;1.244;0;0;0.888
"R8138";2016;Night;12;7.147;0;0;0.655;0;0;4.781;1.244;0;0;0.92
"R8139";2016;Night;12;7.185;0;0;0.681;0;0;4.726;1.245;0;0;0.937
"R8140";2016;Night;12;7.049;0;0;0.696;0.001;0;4.662;1.246;0;0;0.969
"R8141";2016;Night;12;6.728;0;0;0.638;0.002;0;4.596;1.248;0;0;0.993
"R8142";2016;Night;12;6.44;0;0;0.539;0.004;0;4.543;1.25;0;0;0.994
"R8143";2016;Night;12;6.444;0;0;0.458;0.005;0;4.499;1.25;0;0;0.996
"R8144";2016;Night;12;6.497;0;0;0.541;0.005;0.003;4.455;1.25;0;0;0.994
"R8145";2016;Day;12;6.678;0.001;0.001;0.695;0.005;0.003;4.409;1.251;2.329;27.337;0.992
"R8146";2016;Day;12;6.429;0.004;0.01;0.813;0.003;0.001;4.357;1.25;16.728;116.645;0.986
"R8147";2016;Day;12;6.277;0.011;0.024;1.08;0.002;0;4.284;1.249;37.957;172.321;0.975
"R8148";2016;Day;12;6.898;0.021;0.031;1.499;0.001;0;4.184;1.245;50.356;184.761;0.971
"R8149";2016;Day;12;6.919;0.032;0.029;1.317;0.001;0;4.078;1.242;47.601;153.114;0.965
"R8150";2016;Day;12;6.97;0.022;0.013;0.508;0;0;4.042;1.24;21.482;79.544;0.97
"R8151";2016;Day;12;7.371;0.001;0;0.022;0;0;4.038;1.238;0.794;4.081;0.956
"R8152";2016;Night;12;7.495;0;0;-0.461;0;0;4.039;1.24;0;0;0.814
"R8153";2016;Night;12;7.575;0;0;-1.027;0;0;4.04;1.244;0;0;0.521
"R8154";2016;Night;12;7.639;0;0;-1.468;0;0;4.041;1.249;0;0;0.197
"R8155";2016;Night;12;7.576;0;0;-1.968;0.001;0;4.043;1.255;0;0;0.075
"R8156";2016;Night;12;7.505;0;0;-2.315;0.001;0;4.045;1.26;0;0;0.065
"R8157";2016;Night;12;7.321;0;0;-2.542;0;0;4.047;1.265;0;0;0.065
"R8158";2016;Night;12;7.101;0;0;-2.825;0;0;4.05;1.27;0;0;0.063
"R8159";2016;Night;12;6.886;0;0;-3.259;0;0;4.052;1.273;0;0;0.164
"R8160";2016;Night;12;6.711;0;0;-3.827;0;0;4.055;1.277;0;0;0.376
"R8161";2016;Night;12;6.698;0;0;-4.343;0;0;4.057;1.28;0;0;0.465
"R8162";2016;Night;12;6.58;0;0;-4.789;0.001;0.001;4.06;1.284;0;0;0.511
"R8163";2016;Night;12;6.415;0;0;-5.22;0.003;0.003;4.064;1.287;0;0;0.587
"R8164";2016;Night;12;6.288;0;0;-5.543;0.003;0.003;4.069;1.289;0;0;0.563
"R8165";2016;Night;12;6.233;0;0;-5.853;0.001;0.001;4.072;1.29;0;0;0.363
"R8166";2016;Night;12;6.366;0;0;-6.193;0.001;0.001;4.075;1.29;0;0;0.402
"R8167";2016;Night;12;6.312;0;0;-6.144;0;0;4.076;1.289;0;0;0.675
"R8168";2016;Night;12;5.929;0;0;-5.495;0;0;4.077;1.287;0;0;0.939
"R8169";2016;Day;12;5.131;0.006;0.003;-4.432;0;0;4.077;1.286;4.483;25.383;0.934
"R8170";2016;Day;12;4.085;0.063;0.023;-3.388;0;0;4.077;1.285;40.539;113.744;0.367
"R8171";2016;Day;12;3.322;0.315;0.039;-2.707;0;0;4.077;1.285;93.959;169.394;0.235
"R8172";2016;Day;12;2.595;0.339;0.041;-2.313;0;0;4.077;1.285;100.94;181.844;0.767
"R8173";2016;Day;12;2.455;0.229;0.034;-2.346;0;0;4.076;1.284;73.914;150.23;0.903
"R8174";2016;Day;12;3.309;0.101;0.016;-3.18;0;0;4.076;1.284;29.652;76.705;0.904
"R8175";2016;Day;12;4.449;0.004;0.001;-4.661;0;0;4.077;1.284;0.875;3.39;0.919
"R8176";2016;Night;12;5.487;0;0;-5.625;0;0;4.077;1.286;0;0;0.79
"R8177";2016;Night;12;6.011;0;0;-6.003;0;0;4.078;1.287;0;0;0.282
"R8178";2016;Night;12;6.117;0;0;-6.183;0.002;0.002;4.08;1.287;0;0;0.13
"R8179";2016;Night;12;6.159;0;0;-6.112;0.001;0.001;4.083;1.288;0;0;0.192
"R8180";2016;Night;12;5.836;0;0;-5.745;0.005;0.005;4.087;1.289;0;0;0.289
"R8181";2016;Night;12;5.231;0;0;-5.579;0.009;0.009;4.096;1.29;0;0;0.384
"R8182";2016;Night;12;4.859;0;0;-5.506;0.01;0.01;4.106;1.29;0;0;0.672
"R8183";2016;Night;12;4.967;0;0;-5.277;0.01;0.01;4.117;1.289;0;0;0.892
"R8184";2016;Night;12;5.008;0;0;-4.648;0.013;0.009;4.127;1.288;0;0;0.948
"R8185";2016;Night;12;5.023;0;0;-4.018;0.027;0.016;4.139;1.284;0;0;0.987
"R8186";2016;Night;12;5.293;0;0;-3.568;0.033;0.024;4.161;1.28;0;0;0.985
"R8187";2016;Night;12;5.483;0;0;-3.167;0.032;0.021;4.183;1.276;0;0;0.978
"R8188";2016;Night;12;6.179;0;0;-2.743;0.033;0.009;4.192;1.272;0;0;0.975
"R8189";2016;Night;12;6.367;0;0;-2.033;0.033;0.004;4.178;1.267;0;0;0.98
"R8190";2016;Night;12;6.075;0;0;-1.412;0.024;0.004;4.166;1.264;0;0;0.994
"R8191";2016;Night;12;6.095;0;0;-0.836;0.048;0.031;4.165;1.26;0;0;0.996
"R8192";2016;Night;12;6.296;0;0;-0.19;0.216;0.167;4.242;1.258;0;0;0.997
"R8193";2016;Day;12;6.556;0;0;0.332;0.569;0.359;4.498;1.255;0.734;23.615;0.996
"R8194";2016;Day;12;6.744;0;0.003;0.752;0.898;0.409;4.832;1.253;5.382;111.025;0.997
"R8195";2016;Day;12;6.775;0;0.005;0.856;1.121;0.398;5.168;1.252;8.522;166.644;0.996
"R8196";2016;Day;12;6.523;0.001;0.007;0.637;1.141;0.564;5.564;1.252;10.363;179.094;0.995
"R8197";2016;Day;12;6.388;0.001;0.007;0.563;0.799;0.387;6.004;1.251;10.358;147.489;0.996
"R8198";2016;Day;12;6.234;0;0.001;0.663;0.484;0.068;6.121;1.248;2.29;74.023;0.997
"R8199";2016;Day;12;6.072;0;0;0.833;0.629;0.04;6.114;1.245;0.038;2.8;0.995
"R8200";2016;Night;12;5.894;0;0;0.967;1.011;0.052;6.113;1.243;0;0;0.991
"R8201";2016;Night;12;5.832;0;0;1.04;0.716;0.036;6.148;1.241;0;0;0.99
"R8202";2016;Night;12;5.62;0;0;1.121;0.198;0.016;6.166;1.239;0;0;0.994
"R8203";2016;Night;12;5.461;0;0;1.163;0.024;0.006;6.152;1.239;0;0;0.992
"R8204";2016;Night;12;5.241;0;0;1.136;0.018;0.011;6.14;1.239;0;0;0.996
"R8205";2016;Night;12;5.23;0;0;1.072;0.022;0.011;6.129;1.239;0;0;0.996
"R8206";2016;Night;12;5.364;0;0;1.022;0.027;0.012;6.118;1.239;0;0;0.995
"R8207";2016;Night;12;5.372;0;0;1.032;0.098;0.011;6.109;1.238;0;0;0.995
"R8208";2016;Night;12;5.484;0;0;1.09;0.032;0.008;6.094;1.237;0;0;0.993
"R8209";2016;Night;12;5.679;0;0;1.137;0.019;0.007;6.076;1.236;0;0;0.991
"R8210";2016;Night;12;5.801;0;0;1.195;0.019;0.006;6.055;1.234;0;0;0.984
"R8211";2016;Night;12;5.999;0;0;1.206;0.02;0.008;6.032;1.234;0;0;0.914
"R8212";2016;Night;12;5.996;0;0;1.23;0.015;0.006;6.009;1.233;0;0;0.88
"R8213";2016;Night;12;5.926;0;0;1.248;0.013;0.006;5.988;1.232;0;0;0.861
"R8214";2016;Night;12;5.969;0;0;1.226;0.013;0.007;5.968;1.232;0;0;0.867
"R8215";2016;Night;12;6.032;0;0;1.336;0.013;0.005;5.949;1.232;0;0;0.94
"R8216";2016;Night;12;6.217;0;0;1.452;0.012;0.001;5.908;1.232;0;0;0.97
"R8217";2016;Day;12;6.407;0.001;0.001;1.593;0.011;0;5.822;1.231;1.772;22.008;0.955
"R8218";2016;Day;12;6.611;0.002;0.008;1.85;0.009;0;5.72;1.23;13.388;108.489;0.948
"R8219";2016;Day;12;6.776;0.004;0.016;2.212;0.007;0;5.6;1.229;25.811;164.081;0.945
"R8220";2016;Day;12;6.973;0.004;0.017;2.5;0.011;0;5.471;1.228;26.897;176.522;0.98
"R8221";2016;Day;12;7.121;0.003;0.012;2.664;0.018;0;5.337;1.227;19.053;144.98;0.972
"R8222";2016;Day;12;7.111;0.003;0.006;2.51;0.011;0;5.173;1.226;9.501;71.523;0.96
"R8223";2016;Day;12;6.994;0;0;1.96;0.003;0;5.051;1.226;0.29;2.301;0.966
"R8224";2016;Night;12;6.954;0;0;1.625;0.002;0;4.98;1.227;0;0;0.958
"R8225";2016;Night;12;6.926;0;0;1.452;0.003;0;4.944;1.228;0;0;0.931
"R8226";2016;Night;12;6.759;0;0;1.229;0.005;0;4.93;1.229;0;0;0.915
"R8227";2016;Night;12;6.486;0;0;1.036;0.01;0;4.923;1.231;0;0;0.96
"R8228";2016;Night;12;6.666;0;0;1.016;0.012;0;4.913;1.233;0;0;0.989
"R8229";2016;Night;12;7.076;0;0;1.295;0.007;0;4.881;1.234;0;0;0.995
"R8230";2016;Night;12;7.169;0;0;1.499;0.004;0;4.811;1.234;0;0;0.995
"R8231";2016;Night;12;7.063;0;0;1.55;0.002;0;4.738;1.235;0;0;0.993
"R8232";2016;Night;12;6.94;0;0;1.412;0.002;0;4.69;1.234;0;0;0.979
"R8233";2016;Night;12;6.913;0;0;1.223;0.002;0;4.659;1.234;0;0;0.929
"R8234";2016;Night;12;6.817;0;0;1.17;0.006;0;4.63;1.234;0;0;0.778
"R8235";2016;Night;12;6.725;0;0;0.916;0.008;0;4.613;1.234;0;0;0.604
"R8236";2016;Night;12;6.689;0;0;0.868;0.002;0;4.606;1.233;0;0;0.503
"R8237";2016;Night;12;6.639;0;0;0.774;0.002;0;4.6;1.233;0;0;0.461
"R8238";2016;Night;12;6.67;0;0;0.507;0.004;0;4.594;1.233;0;0;0.48
"R8239";2016;Night;12;6.799;0;0;0.254;0.006;0;4.588;1.233;0;0;0.443
"R8240";2016;Night;12;6.881;0;0;0.269;0.007;0.002;4.583;1.234;0;0;0.439
"R8241";2016;Day;12;6.729;0.007;0.003;0.29;0.007;0.003;4.581;1.235;4.67;20.553;0.498
"R8242";2016;Day;12;6.61;0.034;0.02;0.685;0.006;0.003;4.576;1.236;34.368;106.114;0.615
"R8243";2016;Day;12;6.33;0.061;0.035;1.18;0.006;0.001;4.533;1.236;60.261;161.704;0.769
"R8244";2016;Day;12;6.195;0.056;0.037;1.433;0.008;0.001;4.461;1.235;63.662;174.147;0.927
"R8245";2016;Day;12;6.455;0.012;0.019;1.516;0.009;0.002;4.392;1.235;30.764;142.605;0.982
"R8246";2016;Day;12;6.461;0.004;0.006;1.488;0.006;0.001;4.347;1.235;8.975;69.211;0.991
"R8247";2016;Day;12;6.56;0;0;1.437;0.003;0;4.323;1.234;0.119;1.884;0.993
"R8248";2016;Night;12;6.933;0;0;1.474;0.002;0;4.297;1.235;0;0;0.994
"R8249";2016;Night;12;6.782;0;0;1.278;0.001;0;4.263;1.234;0;0;0.995
"R8250";2016;Night;12;6.697;0;0;1.073;0.003;0;4.227;1.234;0;0;0.994
"R8251";2016;Night;12;6.762;0;0;1.051;0.008;0;4.18;1.233;0;0;0.992
"R8252";2016;Night;12;6.266;0;0;0.805;0.027;0;4.131;1.232;0;0;0.99
"R8253";2016;Night;12;5.462;0;0;1.021;0.113;0;4.088;1.231;0;0;0.99
"R8254";2016;Night;12;4.571;0;0;1.411;0.282;0.001;4.075;1.231;0;0;0.99
"R8255";2016;Night;12;3.536;0;0;1.985;0.314;0.001;4.087;1.231;0;0;0.991
"R8256";2016;Night;12;2.882;0;0;2.359;0.253;0;4.112;1.231;0;0;0.989
"R8257";2016;Night;12;2.644;0;0;2.412;0.14;0.001;4.131;1.231;0;0;0.989
"R8258";2016;Night;12;2.596;0;0;2.243;0.063;0.001;4.141;1.231;0;0;0.916
"R8259";2016;Night;12;2.663;0;0;2.039;0.042;0.001;4.148;1.232;0;0;0.848
"R8260";2016;Night;12;2.442;0;0;1.898;0.021;0.002;4.153;1.233;0;0;0.814
"R8261";2016;Night;12;2.561;0;0;1.468;0.009;0.002;4.156;1.233;0;0;0.716
"R8262";2016;Night;12;3.051;0;0;0.904;0.008;0.004;4.161;1.235;0;0;0.724
"R8263";2016;Night;12;3.472;0;0;0.483;0.007;0.005;4.167;1.236;0;0;0.521
"R8264";2016;Night;12;3.673;0;0;0.249;0.011;0.008;4.174;1.238;0;0;0.526
"R8265";2016;Day;12;3.486;0.003;0.002;0.307;0.02;0.012;4.184;1.24;3.258;19.25;0.582
"R8266";2016;Day;12;3.052;0.009;0.014;0.453;0.034;0.014;4.196;1.241;22.791;103.906;0.633
"R8267";2016;Day;12;2.706;0.011;0.023;0.647;0.031;0.016;4.208;1.241;36.473;159.499;0.678
"R8268";2016;Day;12;2.233;0.01;0.023;0.664;0.025;0.01;4.214;1.241;37.097;171.949;0.701
"R8269";2016;Day;12;2.398;0.009;0.018;0.568;0.014;0.005;4.213;1.241;28.405;140.417;0.699
"R8270";2016;Day;12;2.604;0.006;0.007;0.23;0.009;0.003;4.214;1.24;11.5;67.054;0.685
"R8271";2016;Day;12;2.832;0;0;-0.23;0.008;0.003;4.216;1.24;0.158;1.536;0.673
"R8272";2016;Night;12;3.112;0;0;-0.52;0.009;0.003;4.219;1.241;0;0;0.654
"R8273";2016;Night;12;3.225;0;0;-0.719;0.011;0.008;4.225;1.241;0;0;0.642
"R8274";2016;Night;12;3.14;0;0;-0.814;0.012;0.01;4.235;1.242;0;0;0.637
"R8275";2016;Night;12;2.855;0;0;-0.667;0.014;0.007;4.244;1.242;0;0;0.738
"R8276";2016;Night;12;2.249;0;0;-0.351;0.014;0.005;4.25;1.243;0;0;0.93
"R8277";2016;Night;12;2.242;0;0;-0.144;0.016;0.012;4.257;1.244;0;0;0.956
"R8278";2016;Night;12;2.44;0;0;-0.176;0.02;0.02;4.273;1.245;0;0;0.954
"R8279";2016;Night;12;2.519;0;0;-0.429;0.023;0.022;4.295;1.246;0;0;0.969
"R8280";2016;Night;12;2.571;0;0;-0.723;0.023;0.022;4.317;1.247;0;0;0.985
"R8281";2016;Night;12;2.582;0;0;-0.922;0.02;0.02;4.338;1.247;0;0;0.995
"R8282";2016;Night;12;2.462;0;0;-0.992;0.025;0.025;4.36;1.247;0;0;0.996
"R8283";2016;Night;12;2.327;0;0;-1.065;0.035;0.034;4.391;1.247;0;0;0.998
"R8284";2016;Night;12;2.15;0;0;-1.188;0.039;0.039;4.428;1.246;0;0;0.998
"R8285";2016;Night;12;2.466;0;0;-1.346;0.042;0.042;4.469;1.246;0;0;0.996
"R8286";2016;Night;12;2.7;0;0;-1.507;0.036;0.035;4.509;1.245;0;0;0.996
"R8287";2016;Night;12;2.967;0;0;-1.731;0.024;0.024;4.538;1.245;0;0;0.996
"R8288";2016;Night;12;3.38;0;0;-2.033;0.019;0.019;4.559;1.246;0;0;0.996
"R8289";2016;Day;12;3.942;0.003;0.002;-2.318;0.023;0.022;4.58;1.247;3.156;18.091;0.994
"R8290";2016;Day;12;4.361;0.013;0.015;-1.942;0.027;0.026;4.605;1.248;24.399;101.896;0.988
"R8291";2016;Day;12;4.623;0.023;0.028;-1.332;0.036;0.036;4.636;1.248;45.069;157.447;0.981
"R8292";2016;Day;12;4.803;0.023;0.029;-0.976;0.05;0.05;4.677;1.249;47.54;169.897;0.978
"R8293";2016;Day;12;5.356;0.015;0.021;-1.032;0.059;0.057;4.729;1.251;33.597;138.375;0.97
"R8294";2016;Day;12;6.038;0.007;0.007;-1.4;0.041;0.04;4.777;1.254;11.453;65.073;0.857
"R8295";2016;Day;12;6.529;0;0;-1.977;0.012;0.012;4.799;1.259;0.158;1.252;0.555
